Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
Dr. Dennis Gross Skincare,Alpha Beta® Extra Strength Daily Peel Mini,"['A daily anti-aging AHA/BHA extra strength peel that combats common signs of aging to reveal radiant', ' smooth skin.']",['- Dullness and uneven texture- Fine lines and wrinkles- Acne and blemishes- Pores'],"[' Achieve  smooth', ' beautiful skin in two minutes with this extra-strength version of the peel Dr. Dennis Gross uses on patients at his NYC practice.  The patented two-step formula contains seven acids', ' is easy and safe to use at home', ' and does not require any recovery time. Step one is packed with rejuvenating', ' powerful', ' yet gentle exfoliating acids. Step two controls the alpha hydroxy acid activity', ' delivers anti-aging actives', ' nourishes', ' and keeps skin balanced', ' smooth', ' and radiant. Skin immediately looks refreshed and perfectly prepped for a more effective skin care routine. Expect to see improved texture and diminished fine lines with continued use. ']","['-Glycolic Acid: Reduces visible signs of aging.', '-Salicylic Acid: Reduces pore blockages and supports natural collagen.', '-Mandelic Acid: Supplements the anti-aging benefits of glycolic acid and possesses anti-irritation and anti-redness properties.', '-Lactic Acid: A naturally occurring alpha hydroxy acid that supports natural cell renewal.', '-Citric Acid (AHA), Malic Acid (AHA), and Willow Bark Extract (BHA)', '', 'Step One:', 'Water, Alcohol Denat. (SD Alcohol 40-B), Glycolic Acid, Potassium Hydroxide, Hamamelis Virginiana (Witch Hazel) Water, Salicylic Acid, Polysorbate 20, Lactic Acid, Mandelic Acid, Malic Acid, Citric Acid, Salix Alba (Willow) Bark Extract, Menthone Glycerin Acetal, Camellia Sinensis Leaf Extract, Achillea Millefolium Extract, Anthemis Nobilis (Chamomile) Flower Extract, Soy Isoflavones, Copper PCA, Zinc PCA, Lecithin, Disodium EDTA, Alcohol, Polysorbate 80, Fragrance (Parfum), Linalool, Benzyl Salicylate, Benzoic Acid, Phenoxyethanol, Sodium Benzoate.', '', 'Step Two:', 'Water, Sodium Bicarbonate, Resveratrol, Retinol, Ascorbic Acid, Ubiquinone, Ascorbyl Palmitate, Phospholipids, Retinyl Palmitate, Tocopheryl Acetate, Soy Isoflavones, Achillea Millefolium Extract , Camellia Sinensis Leaf Extract, Raphanus Sativus (Radish) Root Extract, Copper PCA, Sodium PCA, Zinc PCA, Lecithin, Polysorbate 20, Polysorbate 80, Alcohol, BHT, Octoxynol-9, Simethicone, Tetrasodium EDTA, Sodium Benzoate, Phenoxyethanol.']",https://www.sephora.com/product/alpha-beta-r-peel-extra-strength-daily-peel-mini-P425868?icid2=products%20grid:p425868:product
Dr. Dennis Gross Skincare,Alpha Beta® Universal Daily Peel Mini,['A daily peel in pre-soaked pads that is formulated to resurrect radiance and diminish the appearance of the three most common signs of aging.'],['- Uneven tone and texture- Fine lines and wrinkles- Enlarged pores'],"[' Achieve smooth', ' beautiful skin in two minutes with no recovery time. Dr. Dennis Gross’ iconic renewing peel is an easy and safe at-home version of peels he uses on patients at his NYC practice. Step one is packed with rejuvenating', ' powerful', ' yet gentle exfoliating acids. Step two controls the alpha hydroxy acid activity', ' delivers antiaging actives', ' nourishes', ' and keeps skin balanced', ' smooth', ' and radiant. Skin immediately looks refreshed and perfectly prepped for a more effective skin care routine. Expect to see improved texture and diminished fine lines with continued use. This universal formula contains a combination of five acids', ' ideal for first-time peel users and those of all skin types.']","['-Glycolic Acid: Reduces the signs of aging.', '-Salicylic Acid: Reduces pore blockages and supports natural collagen.', '-Malic Acid: Supports natural cell renewal, fights the appearance of wrinkles, exfoliates, and moisturizes.', '-Genistein: Supports optimum natural collagen levels.', '-Lactic Acid (AHA) and Citric Acid (AHA)', '', 'Step One:', 'Water, Alcohol Denat. (SD Alcohol 40-B), Glycolic Acid, Potassium Hydroxide, Hamamelis Virginiana (Witch Hazel) Water, Salicylic Acid, Polysorbate 20, Citric Acid, Lactic Acid, Malic Acid, Camellia Sinensis Leaf Extract, Achillea Millefolium Extract, Anthemis Nobilis (Chamomile) Flower Extract, Soy Isoflavones, Copper PCA, Zinc PCA, Lecithin, Disodium EDTA, Alcohol, Polysorbate 80, Fragrance, Linalool, Benzyl Salicylate, Benzoic Acid, Phenoxyethanol, Sodium Benzoate.', '', 'Step 2:', 'Water, Sodium Bicarbonate, Ascorbic Acid, Ascorbyl Palmitate, Retinyl Palmitate, Retinol, Tocopheryl Acetate, Resveratrol, Ubiquinone, Achillea Millefolium Extract , Camellia Sinensis Leaf Extract, Raphanus Sativus (Radish) Root Extract, Soy Isoflavones, Phospholipids, Copper PCA, Sodium PCA, Zinc PCA, Lecithin, Polysorbate 20, Polysorbate 80, Octoxynol-9, Simethicone, Alcohol, BHT, Tetrasodium EDTA, Sodium Benzoate, Phenoxyethanol.']",https://www.sephora.com/product/alpha-beta-r-universal-daily-peel-mini-P425869?icid2=products%20grid:p425869:product
Dr. Dennis Gross Skincare,Alpha Beta® Extra Strength Daily Peel,"['A daily anti-aging AHA/BHA extra strength peel that combats common signs of aging to reveal radiant', ' smooth skin.']",['- Dullness and uneven texture- Fine lines and wrinkles- Acne and blemishes- Pores'],"[' Achieve  smooth', ' beautiful skin in two minutes with this extra-strength version of the peel Dr. Dennis Gross uses on patients at his NYC practice.  The patented two-step formula contains seven acids', ' is easy and safe to use at home', ' and does not require any recovery time.  Step one is packed with rejuvenating', ' powerful', ' yet gentle exfoliating acids. Step two controls the alpha hydroxy acid activity', ' delivers anti-aging actives', ' nourishes', ' and keeps skin balanced', ' smooth', ' and radiant. Skin immediately looks refreshed and perfectly prepped for a more effective skin care routine. Expect to see improved texture and diminished fine lines with continued use. ']","['-Glycolic Acid: Reduces visible signs of aging.', '-Salicylic Acid: Reduces pore blockages and supports natural collagen.', '-Mandelic Acid: Supplements the anti-aging benefits of glycolic acid and possesses anti-irritation and anti-redness properties.', '-Lactic Acid: A naturally occurring alpha hydroxy acid that supports natural cell renewal.', '-Citric Acid (AHA), Malic Acid (AHA), and Willow Bark Extract (BHA)', '', 'Step One:', 'Water, Alcohol Denat. (SD Alcohol 40-B), Glycolic Acid, Potassium Hydroxide, Hamamelis Virginiana (Witch Hazel) Water, Salicylic Acid, Polysorbate 20, Lactic Acid, Mandelic Acid, Malic Acid, Citric Acid, Salix Alba (Willow) Bark Extract, Menthone Glycerin Acetal, Camellia Sinensis Leaf Extract, Achillea Millefolium Extract, Anthemis Nobilis (Chamomile) Flower Extract, Soy Isoflavones, Copper PCA, Zinc PCA, Lecithin, Disodium EDTA, Alcohol, Polysorbate 80, Fragrance (Parfum), Linalool, Benzyl Salicylate, Benzoic Acid, Phenoxyethanol, Sodium Benzoate.', '', 'Step Two:', 'Water, Sodium Bicarbonate, Resveratrol, Retinol, Ascorbic Acid, Ubiquinone, Ascorbyl Palmitate, Phospholipids, Retinyl Palmitate, Tocopheryl Acetate, Soy Isoflavones, Achillea Millefolium Extract , Camellia Sinensis Leaf Extract, Raphanus Sativus (Radish) Root Extract, Copper PCA, Sodium PCA, Zinc PCA, Lecithin, Polysorbate 20, Polysorbate 80, Alcohol, BHT, Octoxynol-9, Simethicone, Tetrasodium EDTA, Sodium Benzoate, Phenoxyethanol.']",https://www.sephora.com/product/alpha-beta-peel-extra-strength-daily-peel-P269122?icid2=products%20grid:p269122:product
Dr. Dennis Gross Skincare,Alpha Beta® Universal Daily Peel,['A daily peel in pre-soaked pads that is formulated to resurrect radiance and diminish the appearance of the three most common signs of aging.'],['- Uneven tone and texture- Fine lines and wrinkles- Enlarged pores'],"[' Achieve smooth', ' beautiful skin in two minutes with no recovery time. Dr. Dennis Gross’ iconic renewing peel is an easy and safe at-home version of peels he uses on patients at his NYC practice. Step one is packed with rejuvenating', ' powerful', ' yet gentle exfoliating acids. Step two controls the alpha hydroxy acid activity', ' delivers antiaging actives', ' nourishes', ' and keeps skin balanced', ' smooth', ' and radiant. Skin immediately looks refreshed and perfectly prepped for a more effective skin care routine. Expect to see improved texture and diminished fine lines with continued use. This universal formula contains a combination of five acids', ' ideal for first-time peel users and those of all skin types.']","['-Glycolic Acid: Reduces the signs of aging.', '-Salicylic Acid: Reduces pore blockages and supports natural collagen.', '-Malic Acid: Supports natural cell renewal, fights the appearance of wrinkles, exfoliates, and moisturizes.', '-Genistein: Supports optimum natural collagen levels.', '-Lactic Acid (AHA) and Citric Acid (AHA)', '', 'Step One:', 'Water, Alcohol Denat. (SD Alcohol 40-B), Glycolic Acid, Potassium Hydroxide, Hamamelis Virginiana (Witch Hazel) Water, Salicylic Acid, Polysorbate 20, Citric Acid, Lactic Acid, Malic Acid, Camellia Sinensis Leaf Extract, Achillea Millefolium Extract, Anthemis Nobilis (Chamomile) Flower Extract, Soy Isoflavones, Copper PCA, Zinc PCA, Lecithin, Disodium EDTA, Alcohol, Polysorbate 80, Fragrance, Linalool, Benzyl Salicylate, Benzoic Acid, Phenoxyethanol, Sodium Benzoate.', '', 'Step 2:', 'Water, Sodium Bicarbonate, Ascorbic Acid, Ascorbyl Palmitate, Retinyl Palmitate, Retinol, Tocopheryl Acetate, Resveratrol, Ubiquinone, Achillea Millefolium Extract , Camellia Sinensis Leaf Extract, Raphanus Sativus (Radish) Root Extract, Soy Isoflavones, Phospholipids, Copper PCA, Sodium PCA, Zinc PCA, Lecithin, Polysorbate 20, Polysorbate 80, Octoxynol-9, Simethicone, Alcohol, BHT, Tetrasodium EDTA, Sodium Benzoate, Phenoxyethanol.']",https://www.sephora.com/product/alpha-beta-universal-daily-peel-P377533?icid2=products%20grid:p377533:product
Dr. Dennis Gross Skincare,SpectraLite™ Faceware Pro,['A device that harnesses a full spectrum of therapeutic red and blue LED light to support natural collagen and zap acne-causing bacteria—hands-free.'],['- Fine lines and wrinkles- Blemishes- Dark spots and uneven skin tone'],[],,https://www.sephora.com/product/spectralite-faceware-pro-P435378?icid2=products%20grid:p435378:product
Dr. Brandt Skincare,pores no more® pore refiner primer,['An effective primer that instantly* mattifies shine and minimizes the look of pores. *Individual results may vary.'],['- Oiliness- Pores- Dullness and uneven texture'],[],"['-Tea Tree Oil: Essential oil.', '-Flaxseed Extract: Absorbs oil and reduces shine,.', '-Microspheres: Mineral-rich powders that immediately minimize the appearance of large pores.', '', 'Cyclopentasiloxane, Dimethicone Crosspolymer, Methyl Methacrylate Crosspolymer, Lauryl Peg/Ppg-18/18 Methicone, Peg/Ppg-18/18 Dimethicone, Cyclotetrasiloxane, Magnesium Silicate, Calcium Aluminum Borosilicate, Dimethicone/Vinyl Dimethicone Crosspolymer, Linum Usitatissimum (Linseed) Seed Extract, Dimethyl Oxobenzo Dioxasilane, Ethylhexyl Palmitate, Phenoxyethanol, Lavandula Angustifolia (Lavender) Oil, Silica Dimethyl Silylate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Silica, Triethoxycaprylylsilane, Caprylyl Glycol, Propylene Glycol, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).']",https://www.sephora.com/product/pores-no-more-pore-refiner-primer-P139005?icid2=products%20grid:p139005:product
Dr. Brandt Skincare,microdermabrasion age defying exfoliator,"['A cult-favorite exfoliator that refines the look of skin’s texture and softens imperfections for a radiant', ' smoother', ' clearer', ' and brighter complexion—in minutes.']",['- Dullness and uneven texture- Fine lines and wrinkles- Blemishes'],"[' Get a youthful glow with this microdermabrasion solution. This formula contains aluminum oxide crystals', ' lactic acid', ' and soothing botanicals to polish away dead skin cells', ' provide a radiant', ' healthy look', "" and smooth skin's texture. Watch as the appearance of fine lines"", ' acne marks', ' and skin discolorations diminish for maximum results in minimal time.']","['-Aluminum Oxide Crystals: Polishes and removes dead skin cells.', '-Lactic Acid: Gently sweeps away dead skin cells and softens texture.', '-Jojoba, Aloe Vera, and Chamomile: Blend of botanicals that soothe and refresh.', '', 'Water, Alumina, Caprylic/Capric Triglyceride, Glycerin, Cetyl Alcohol, Glyceryl Stearate, Peg-100 Stearate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Simmondsia Chinensis (Jojoba) Seed Oil, Xanthan Gum, Phenoxyethanol,Lactic Acid, Fragrance (Parfum), Menthone Glycerin Acetal, Allantoin, Disodium Edta, Tocopheryl Acetate, Magnesium Oxide, Propylene Glycol, Aloe Barbadensis Leaf Extract, Vitis Vinifera (Grape) Seed Extract, Chamomilla Recutita (Matricaria) Flower Extract, Camellia Sinensis Leaf Extract, Citral, Limonene.']",https://www.sephora.com/product/microdermabrasion-age-defying-exfoliator-P45503?icid2=products%20grid:p45503:product
Dr. Dennis Gross Skincare,Ferulic + Retinol Triple Correction Eye Serum,"['A transformative eye serum powered by retinol and supercharged with ferulic acid to visibly firm skin around the eye', ' reduce the look of wrinkles', ' and smooth the eyelid for a healthier-looking appearance.']",['- Fine lines and wrinkles- Loss of firmness and elasticity- Dark circles'],"['Using professional-grade ingredients', ' this serum targets three signs of aging: wrinkles', ' puffiness', ' and dark circles. NYC dermatologist Dr. Dennis Gross found the combination of the potent antioxidants ferulic acid and retinol', ' which helps support natural collagen', ' reduce the appearance of wrinkles', ' and diminish the look of crepiness in the eyelid. Licorice root extract brightens dark circles and deflates under-eye puffiness', ' while caffeine provides firming and tightening effects. The weightless', ' silky formula allows for smoother makeup application and gives you a rested', ' refreshed look—with or without makeup.']","['-Ferulic Acid: Enhances properties of other vitamins for healthy skin and offers antioxidant sun damage protection.', '-Retinol: Helps smooth the appearance of wrinkles and lines while increasing moisture.', '-Licorice Root Extract: Lightens and soothes irritation and redness.', '', 'Water, Propylene Glycol, Ethoxydiglycol, Centella Asiatica Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Ferulic Acid, Retinol, Potassium Azeloyl Diglycinate, Arctostaphylos Uva Ursi Leaf Extract, Arbutin, Morus Nigra Fruit Extract, Salix Alba (Willow) Bark Extract, Quercetin, Caffeine, Ubiquinone, Sodium Hyaluronate, Salicylic Acid, Glycolic Acid, Mandelic Acid, Panthenol, Butylene Glycol, Glycerin, Disodium Lauriminodipropionate Tocopheryl Phosphates, Lecithin, Tetrapeptide-21, Acrylates/Carbamate Copolymer, Disodium EDTA, PVM/MA Decadiene Crosspolymer, Urea, Polysorbate 20, BHT, Potassium Hydroxide, Phenoxyethanol, Iron Oxides (CI 77491, CI 77492, CI77499).']",https://www.sephora.com/product/ferulic-retinol-triple-correction-eye-serum-P377531?icid2=products%20grid:p377531:product
Dr. Dennis Gross Skincare,Ferulic Acid + Retinol Brightening Solution,"['A fast-absorbing liquid retinol serum supercharged by ferulic acid to retexture skin and visibly reduce fine lines for an instantly smoother', ' more even', ' lit-from-within glow.']",['- Uneven skin tone- Fine lines and wrinkles- Dullness and uneven texture'],"[' Recapture your flawless complexion and youthful texture with this potent Ferulic Acid + Retinol Brightening Solution. It dramatically smooths skin’s surface as it treats signs of sun damage', ' rough texture', ' wrinkles', ' and surface imperfections.']","['-Ferulic Acid: Provides sun damage protection; plant-based antioxidant that enhances properties of other vitamins for healthy-looking skin.', '-Retinol: Helps smooth visible wrinkles and lines while increasing moisture and elasticity.', '-Licorice Root Extract: Lightens and acts as an anti-inflammatory.', '-Bearberry Extract: Corrects hyperpigmentation and helps support natural cell turnover; natural alternative to hydroquinone.', '', 'Water, Ethoxydiglycol, Propylene Glycol, Glycerin, Potassium Azeloyl Diglycinate, Ferulic Acid, Retinol, Glycyrrhiza Glabra (Licorice) Root Extract, Arctostaphylos Uva Ursi Leaf Extract, Arbutin, Morus Nigra Fruit Extract, Salix Alba (Willow) Bark Extract, Salicylic Acid, Glycolic Acid, Mandelic Acid, Hexylresorcinol, Sodium Hyaluronate, Tocopherol, Panthenol, Quercetin, Disodium Lauriminodipropionate Tocopheryl Phosphates, Ubiquinone, Lecithin, Disodium EDTA, PVM/MA Decadiene Crosspolymer, BHT, Urea, Polysorbate 20, Potassium Hydroxide, Phenoxyethanol.']",https://www.sephora.com/product/ferulic-acid-retinol-brightening-solution-P375269?icid2=products%20grid:p375269:product
Dr. Brandt Skincare,needles no more® NO MORE BAGGAGE™ eye de-puffing gel,"['A breakthrough under-eye solution that dramatically reduces the appearance of bags', ' puffiness', ' and dark circles for a more youthful and rested look.']",['- Puffiness- Dark circles'],"[' This advanced eye de-puffing gel is a quick', ' innovative solution for aging', ' tired-looking eyes. Upon application', ' it provides a tightening effect and smooths the under-eye contour to visually reduce the appearance of under-eye bags and dark circles for an immediately brighter', ' well-rested look. It also works over time to help restore a youthful eye contour for a consistently smooth and improved appearance.']","['-Fimatrix: Forms an invisible, second skin film to visually smooth eye contour.', '-Botanical Extracts Cocktail: Reduce the appearance of puffiness and intensity of dark circles', '-Peptides: Restore the look of elasticity and reduce the look of bags.', '', 'Water, Sodium Magnesium Silicate, Propanediol, Magnesium Aluminum Silicate, Phenoxyethanol, Lecithin, Kappaphycus Alvarezii Extract, Caffeine, Synthetic, Fluorphlogopite, Acetyl Glutamine, Hesperidin Methyl Chalcone, Caesalpinia Spinosa Fruit Extract, Titanium Dioxide, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Steareth-20, Sh-Oligopeptide-1, Sh- Oligopeptide-2, Dipeptide-2, Sodium Hyaluronate, Sh-Polypeptide-1, Sh- Polypeptide-9, Sh-Polypeptide-11, Bacillus/Soybean/Folic Acid Ferment, Boswellia Serrata Extract, Centella Asiatica Extract, Palmitoyl Tetrapeptide-7, Butylene Glycol, Betula Alba Bark Extract, Chlorhexidine Digluconate, Tin Oxide, 1,2- Hexanediol, Potassium Sorbate, Polygonum Cuspidatum Root Extract, Peg-12 Dimethicone, Camellia Sinensis Leaf Extract, Sodium Benzoate, Iron Oxides (Ci 77491, Ci 77492).']",https://www.sephora.com/product/no-more-baggage-eye-de-puffing-gel-P421759?icid2=products%20grid:p421759:product
