Brand,Product,Ingredients,Item Link
First Aid Beauty,Hello FAB Bendy Avocado Concealer,"-Avocado Oil: A natural oil that helps hydrate, nourish, and soften skin.,-Caffeine: Helps diminish the appearance of under-eye puffiness and dark circles.,-Tremella Fuciformis Sporocarp Extract: A mushroom extract and natural humectant that boosts skin’s moisture content and helps it appear plump and smooth.,-Vitamin E: Rich in antioxidants to condition and soothe skin and stave off environmental aggressors.,,Water, Cyclopentasiloxane, Dimethicone, Glycerin, Propanediol, Phenyl Trimethicone, Caprylic/Capric Triglyceride, Neopentyl Glycol Diheptanoate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Calcium Aluminum Borosilicate, Dimethicone/Polyglycerin-3 Crosspolymer, Persea Gratissima (Avocado) Oil, Tremella Fuciformis Sporocarp Extract, Caffeine, Tocopherol, Glycyrrhiza Glabra (Licorice) Root Extract, Camellia Sinensis Leaf Extract, Chrysanthemum Parthenium (Feverfew) Extract, Caprylyl Glycol, Butylene Glycol Dicaprylate/Dicaprate, Betaine, Boron Nitride, Magnesium Sulfate, Triethoxycaprylylsilane, Aluminum Dimyristate, Stearalkonium Hectorite, Dimethicone/Vinyl Dimethicone Crosspolymer, Dipropylene Glycol, Disodium Stearoyl Glutamate, Silica, Propylene Carbonate, Caprylhydroxamic Acid, Sodium Citrate, Phenoxyethanol, Tetrasodium EDTA, Potassium Sorbate, CI 77891 (Titanium Dioxide), CI 77491/77492/77499 (Iron Oxides).",https://www.sephora.com/product/hello-fab-bendy-avocado-concealer-P434551?icid2=products%20grid:p434551:product
ALTERNA Haircare,CAVIAR Anti-Aging® Restructuring Bond Repair Leave-In Heat Protection Spray,"-Caviar Extract: Restores moisture, elasticity, and shine to hair.,-Caviar Bond Enforcing Technology: Seals hair cuticles that have been damaged through chemical processes or physical stress, and smooths out the hair fiber.,-Age-Control-Complex®: Prevents damage and encourages micro-circulation to undo the effects of chemical, environmental, and natural chronological aging.,-Panthenol: Provides essential nutrients that strengthen, condition, and protect the hair.,,Water, Dimethicone, Propanediol, Cetyl Alcohol, Dicaprylyl Ether, Fragrance, Stearyl Alcohol, Hydrogenated Castor Oil/Sebacic Acid Copolymer, PEG-40 Hydrogenated Castor Oil, Benzyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Behentrimonium Chloride, VP/VA Copolymer, Amodimethicone, Panthenol, Dehydroacetic Acid, Trideceth-12, Cetrimonium Chloride, Ascorbic Acid, Biotin, Polysilicone-15, Pyridoxine HCL, Retinyl Palmitate, Superoxide Dismutase, Tocopheryl Acetate, Hydrolyzed Rice Protein, Hydrolyzed Wheat Protein, Caviar Extract, Potassium Benzoate, Propylene Glycol, Sodium Sorbate, Hydrolyzed Soy Protein, Helianthus Annuus (Sunflower) Seed Oil, Leuconostoc/Radish Root Ferment Filtrate, Saccharomyces/Copper Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Magnesium Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Hydrolyzed Corn Protein, Hydrolyzed Cottonseed Protein, Phospholipids, Hexyl Cinnamal, Linalool, Limonene, Geraniol, Coumarin, Citral, Amyl Cinnamal, Benzyl Benzoate, Benzyl Alcohol, Citronellol.",https://www.sephora.com/product/caviar-anti-aging-restructuring-bond-repair-leave-in-heat-protection-spray-P435932?icid2=products%20grid:p435932:product
Wander Beauty,On-The-Glow Blush and Illuminator,"-Vitamins A, C, and E: Condition and smooth skin while providing antioxidant protection.,-HD Effects Pigments: Iluminate skin with an undetectable glow/finish.,,Caprylic/Capric Triglyceride, Cetyl Dimethicone, Silica, Beeswax (Cera Alba), Euphorbia Cerifera (Candelilla) Wax (Candelilla Cera), Microcrystalline Wax (Cera Microcristallina), Glycereth-8 Hydroxystearate, Polyethylene, Ethylhexyl Palmitate, Octyldodecanol, Arachidyl Propionate, Squalane, Tocopherol, Tocopheryl Acetate, Retinyl Palmitate, Tetrahexyldecyl Ascorbate, Sorbitan Sesquioleate, Propionic Acid, Hexylresorcinol, Phenoxyethanol. May Contain: (+/-) Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Bismuth Oxychloride (CI 77163), Chromium Hydroxide Green (CI 77289), Chromium Oxide Green (CI 77288), Carmine (CI 75470), Ultramarines (CI 77007), Ferric Ferrocyanide (CI 77510), Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 21 (CI 45380), Red 27 (CI 45410), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090).",https://www.sephora.com/product/on-the-glow-blush-illuminator-P407106?icid2=products%20grid:p407106:product
Laura Mercier,Tinted Moisturizer Broad Spectrum SPF 20 Mini,,https://www.sephora.com/product/tinted-moisturizer-broad-spectrum-spf-20-P422082?icid2=products%20grid:p422082:product
Briogeo,Scalp Revival™ Stimulating Therapy Massager,,https://www.sephora.com/product/scalp-revival-scalp-massager-P429962?icid2=products%20grid:p429962:product
Briogeo,"Don't Despair, Repair!™ Strength + Moisture Leave-In Mask","-Micro-Encapsulated Argan Oil: Repairs damage along the hair cuticle to leave hair healthier, stronger, smoother, and more hydrated.,-Algae Extract: Rich in minerals, amino acids, antioxidants, and vitamins to nourish and strengthen the hair and protect the scalp from free radical damage.,-B-Vitamins: Improves the texture of the hair and adds body and sheen; helps repair and restore nourishment to hair damaged by heat and/or chemical treatments.,-Panthenol: Enhances the effects of hair elasticity, moisture retention, and flexibility.,,Water, Polysorbate 80*, Cocos Nucifera (Coconut) Oil, Argania Spinosa Kernel Oil, Butyrospermum Parkii (Shea) Butter, Rosa Canina Fruit Oil, Algae Extract, Capric/Caprylic Triglyceride*, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Tangerina (Tangerine) Peel Oil, Citrus Limon (Lemon) Peel Oil, Chamomilla Recutita (Matricaria) Flower Extract, Abies Sibirica Oil, Tocopheryl Acetate*, Glycerin*, Algin*, Citric Acid, Chitosan*, Cetrimonium Chloride*, Cetyl Alcohol*, C20-22 Alkyl Phosphate, C20-22 Alcohols*, Behentrimonium Methosulfate*, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Polysorbate 60*, Aminomethyl Propanol, Butylene Glycol, Sorbitan Oleate Decylglucoside Crosspolymer*, Fragrance (Parfum), Dehydroacetic Acid, Benzyl Alcohol. *Coconut, vegetable, or plant derived.",https://www.sephora.com/product/don-t-despair-repair-strength-moisture-leave-in-mask-P427526?icid2=products%20grid:p427526:product
LAVANILA,The Healthy Deodorant,,https://www.sephora.com/product/the-healthy-deodorant-P237120?icid2=products%20grid:p237120:product
LAWLESS,Woke Up Like This Flawless Finish Foundation,"-Abyssinica Seed Oil: Moisturizes and supports skin suppleness and softness; diminishes the appearance of wrinkles while adding a natural, radiant luster.,-Shea butter: Provides soothing benefits, supports skin strength and softness, supports natural collagen, and contains linoleic, oleic, and stearic acids that reduce dryness.,-Vitis Vinifera (Grape) Seed Oil: Rich in beta-carotene, vitamins D, C, and E, and essential fatty acids that aid in minimizing the appearance and size of scars. Provides antioxidant benefits, moisturizes, balances both dry and oily patches, and supports natural collagen.,-Vegetable Glycerin: Addresses many oily skin conditions, draws moisture into the skin, supports the water balance of skin by attracting water from the air, and supports water retention in skin.,,Water, Dimer Dilinoleyl Dimer Dilinoleate, Polyglyceryl-2 Dipolyhydroxystearate, Undecane, Tridecane, Coco-Caprylate/Caprate, Polyglyceryl-3 Diisostearate, Polyglyceryl-4 Isostearate, Xanthan Gum, Hydrogenated Methyl Abietate, Vitis Vinifera (Grape) Seed Oil, Glycerin, Beeswax, Crambe Abyssinica Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Propanediol, Butyrospermum Parkii (Shea) Butter, Aleurites Moluccanus Seed Oil, C13-15 Alkane, Helianthus Annuus (Sunflower) Seed Oil, Camellia Oleifera Seed Oil, Orbignya Oleifera Seed Oil, Euphorbia Cerifera (Candelilla) Wax, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Juniperus virginiana Oil, Citrus Aurantium Dulcis Peel Oil, Cananga Odorata Flower Oil, * Benzyl Salicylate, *Eugenol, *Geraniol, *Benzyl Benzoate, *Farnesol, *Linalool, Aniba Rosodora (Rosewood) Wood Oil, *Limonene, Jasminum Sambac (Jasmine) Flower Oil, Phenethyl Alcohol, Ethylhexylglycerin, Stearoyl Glutamic Acid, Jojoba Esters, Flavor. May Contain (+/-): Titanium Dioxide (Ci 77891), Iron Oxide (Ci 77492). *Allergens.",https://www.sephora.com/product/woke-up-like-this-flawless-finish-foundation-P432234?icid2=products%20grid:p432234:product
Briogeo,"Be Gentle, Be Kind™ Avocado + Quinoa Co–Wash","-Rosehip Oil: Protects hair from UV and free-radical damage and delivers antioxidants and essential fatty acids to tame frizz and balance hydration.,-Argan Oil: Provides extensive conditioning and helps combat dryness and damage.,-Coconut Oil: Seals in moisture to protect tresses from breakage and excessive heat exposure.,-Vitamin E: Softens strands, provides essential healthy-hair nutrients, and helps prevent breakage.,,Water, Cocos Nucifera (Coconut) Oil, Argania Spinosa Kernel Oil, Rosa Canina Fruit Oil, Tocopheryl Acetate*, Butyrospermum Parkii (Shea) Butter, Hibiscus Sabdariffa Flower Extract, C20-22 Alcohols*, C20-22 Alkyl Phosphate, Cetrimonium Chloride*, Cetyl Esters*, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Citrus Limon (Lemon) Peel Oil, Citrus Tangerina (Tangerine) Peel Oil, Santalum Album (Sandalwood) Oil, Glycerin*, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Polysorbate 60*, Polysorbate 80*, Fragrance, Aminomethyl Propanol, Benzyl Alcohol, Dehydroacetic Acid. *Coconut or Vegetable Derived.",https://www.sephora.com/product/be-gentle-be-kind-avocado-quinoa-co-wash-P388623?icid2=products%20grid:p388623:product
Artis,Elite Mirror Five Brush Set,,https://www.sephora.com/product/elite-mirror-five-brush-set-P430121?icid2=products%20grid:p430121:product
