Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
CLINIQUE,Get Cheeky Holiday Palette,[],[],[],,https://www.sephora.com/product/get-cheeky-holiday-palette-P437326?icid2=products%20grid:p437326:product
CLINIQUE,Moisture Surge 72-Hour Auto-Replenishing Hydrator,['A refreshing gel-cream that provides an instant moisture boost—and is now enhanced to deliver almost twice as much hydration at the end of the day than it did before.'],['- Dryness- Fine lines and wrinkles- Dullness and uneven texture'], New auto-replenishing technology with activated aloe water actually helps skin create its own internal water source to continually rehydrate itself. It then locks in all that moisture for an endlessly plump dewy healthy-looking glow. Bursting with hyaluronic acid nature's perfect moisture magnet testing proves that it works non-stop for up to 72 hours—even after washing your face.,,https://www.sephora.com/product/moisture-surge-72-hour-auto-replenishing-hydrator-P425416?icid2=products%20grid:p425416:product
CLINIQUE,Dramatically Different Moisturizing Lotion+,A fast-absorbing lightweight daily moisturizer for dry to combination skin types.,['- Dryness']," This cult-classic moisture ""drink"" developed by Clinique's dermatologists maintains optimal moisture balance for very dry skin or comfortable to oily skin in the T-zone. With a silky texture and quick penetration this lightweight formula strengthens skin's own moisture barrier by 54 percent so more moisture stays in. All-day hydration leaves skin silky-soft springy and absolutely radiant. Skin looks younger longer.",,https://www.sephora.com/product/dramatically-different-moisturizing-lotion-P381030?icid2=products%20grid:p381030:product
CLINIQUE,Take The Day Off Cleansing Balm,A transformational lightweight makeup remover that goes from balm to oil to milk to melt away every trace of eye and face makeup and sunscreen. ,['- Dryness'],This makeup remover effortlessly dissolves even the most tenacious makeup and sunscreen. Its non-greasy non-drying lightweight formula nourishes skin cleanses thoroughly and rinses off completely so all that’s left is a fresh dewy glow.,,https://www.sephora.com/product/take-the-day-off-cleansing-balm-P126301?icid2=products%20grid:p126301:product
CLINIQUE,Even Better Makeup SPF 15,[],[],[],,https://www.sephora.com/product/even-better-makeup-spf-15-P234967?icid2=products%20grid:p234967:product
CLINIQUE,Dramatically Different Moisturizing Gel,A lightweight fast-absorbing gel hydrator developed specifically for the needs of combination to oily skin.,['- Dryness- Oiliness'], This genius gel developed by Clinique's dermatologists maintains optimal moisture balance for oily skin. The refreshing oil-free formula combines all-day hydration with skin-strengthening ingredients so skin looks younger longer and feels fresh and comfortable. ,,https://www.sephora.com/product/dramatically-different-moisturizing-gel-P122900?icid2=products%20grid:p122900:product
CLINIQUE,Go-To Glow Set,['An essential skincare and makeup set for everyday radiance.'],['- Dryness- Fine lines and wrinkles- Dullness and uneven texture'],Get glowing with Clinique Pep-Start™ 2-in-1 Exfoliating Cleanser. This product is a face cleanser and exfoliator in one which gives skin a smooth finish. Moisture Surge™ 72-Hour Auto-Replenishing Hydrator uses hyaluronic acid and activated aloe water to give skin the power to rehydrate itself. Add two drops of Clinique Fresh Pressed™ Daily Booster with Pure Vitamin C 10% to your moisturizer for naturally brighter even and retexturized skin. Bring your best features forward with Chubby Stick™ Sculpting Highlight—a cream highlighting stick with light-reflecting optics. Lips get a pop of color and shine with Clinique Pop Splash™ Lip Gloss + Hydration. Prime and define lashes with Dual-Ended High Impact™ Mascara with Lash Building Primer. Then dissolve it all with Take The Day Off™ Cleansing Balm and Makeup Remover For Lids Lashes &amp; Lips for glowing skin. This set contains:- 1 oz/ 29.6 mL Clinique Pep-Start™ 2-in-1 Exfoliating Cleanser- 1.7 oz/ 50 mL Moisture Surge™ 72-Hour Auto-Replenishing Hydrator- 0.29 oz/ 8.5 mL Clinique Fresh Pressed™ Daily Booster with Pure Vitamin C 10% 1 vial (one-week supply)- 0.13 oz/ 3.6 g Chubby Stick™ Sculpting Highlight in Hefty Highlight- 0.05 oz/ 1.5 mL Clinique Pop Splash™ Lip Gloss + Hydration in Caramel Pop- 0.07 oz/ 2 mL Dual-Ended High Impact™ Mascara in Black - 0.08 oz/ 2.4 g Dual-Ended Lash Building Primer- 1.7 oz/ 50 mL Take The Day Off™ Makeup Remover For Lids Lashes &amp; Lips- 1 oz/ 30 mL Take The Day Off™ Cleansing Balm,,https://www.sephora.com/product/go-to-glow-set-P436635?icid2=products%20grid:p436635:product
CLINIQUE,Beyond Perfecting Foundation + Concealer,[],[],[],,https://www.sephora.com/product/beyond-perfecting-foundation-concealer-P393325?icid2=products%20grid:p393325:product
CLINIQUE,Stay-Matte Sheer Pressed Powder,[],[],[],,https://www.sephora.com/product/stay-matte-sheer-pressed-powder-P122748?icid2=products%20grid:p122748:product
CLINIQUE,All About Eyes™ Rich,A moisturizing eye treatment that helps minimize the look of dark circles shadows and puffiness.,['- Dryness- Puffiness- Dark Circles'],This brightening eye cream works instantly and over time to diminish the look of undereye circles shadows and fine lines. Its botanical ingredients depuff and calm the eye area. It also supports natural collagen production while strengthening skin's moisture barrier against common irritants.  ,,https://www.sephora.com/product/all-about-eyes-rich-P174502?icid2=products%20grid:p174502:product
