Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
Dr. Brandt Skincare,pores no more® pore refiner primer,['An effective primer that instantly* mattifies shine and minimizes the look of pores. *Individual results may vary.'],['- Oiliness- Pores- Dullness and uneven texture'],[],"-Tea Tree Oil: Essential oil.,-Flaxseed Extract: Absorbs oil and reduces shine,.,-Microspheres: Mineral-rich powders that immediately minimize the appearance of large pores.,,Cyclopentasiloxane, Dimethicone Crosspolymer, Methyl Methacrylate Crosspolymer, Lauryl Peg/Ppg-18/18 Methicone, Peg/Ppg-18/18 Dimethicone, Cyclotetrasiloxane, Magnesium Silicate, Calcium Aluminum Borosilicate, Dimethicone/Vinyl Dimethicone Crosspolymer, Linum Usitatissimum (Linseed) Seed Extract, Dimethyl Oxobenzo Dioxasilane, Ethylhexyl Palmitate, Phenoxyethanol, Lavandula Angustifolia (Lavender) Oil, Silica Dimethyl Silylate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Silica, Triethoxycaprylylsilane, Caprylyl Glycol, Propylene Glycol, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).",https://www.sephora.com/product/pores-no-more-pore-refiner-primer-P139005?icid2=products%20grid:p139005:product
Dr. Brandt Skincare,microdermabrasion age defying exfoliator,A cult-favorite exfoliator that refines the look of skin’s texture and softens imperfections for a radiant smoother clearer and brighter complexion—in minutes.,['- Dullness and uneven texture- Fine lines and wrinkles- Blemishes'], Get a youthful glow with this microdermabrasion solution. This formula contains aluminum oxide crystals lactic acid and soothing botanicals to polish away dead skin cells provide a radiant healthy look and smooth skin's texture. Watch as the appearance of fine lines acne marks and skin discolorations diminish for maximum results in minimal time.,"-Aluminum Oxide Crystals: Polishes and removes dead skin cells.,-Lactic Acid: Gently sweeps away dead skin cells and softens texture.,-Jojoba, Aloe Vera, and Chamomile: Blend of botanicals that soothe and refresh.,,Water, Alumina, Caprylic/Capric Triglyceride, Glycerin, Cetyl Alcohol, Glyceryl Stearate, Peg-100 Stearate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Simmondsia Chinensis (Jojoba) Seed Oil, Xanthan Gum, Phenoxyethanol,Lactic Acid, Fragrance (Parfum), Menthone Glycerin Acetal, Allantoin, Disodium Edta, Tocopheryl Acetate, Magnesium Oxide, Propylene Glycol, Aloe Barbadensis Leaf Extract, Vitis Vinifera (Grape) Seed Extract, Chamomilla Recutita (Matricaria) Flower Extract, Camellia Sinensis Leaf Extract, Citral, Limonene.",https://www.sephora.com/product/microdermabrasion-age-defying-exfoliator-P45503?icid2=products%20grid:p45503:product
Dr. Brandt Skincare,needles no more® NO MORE BAGGAGE™ eye de-puffing gel,A breakthrough under-eye solution that dramatically reduces the appearance of bags puffiness and dark circles for a more youthful and rested look.,['- Puffiness- Dark circles'], This advanced eye de-puffing gel is a quick innovative solution for aging tired-looking eyes. Upon application it provides a tightening effect and smooths the under-eye contour to visually reduce the appearance of under-eye bags and dark circles for an immediately brighter well-rested look. It also works over time to help restore a youthful eye contour for a consistently smooth and improved appearance.,"-Fimatrix: Forms an invisible, second skin film to visually smooth eye contour.,-Botanical Extracts Cocktail: Reduce the appearance of puffiness and intensity of dark circles,-Peptides: Restore the look of elasticity and reduce the look of bags.,,Water, Sodium Magnesium Silicate, Propanediol, Magnesium Aluminum Silicate, Phenoxyethanol, Lecithin, Kappaphycus Alvarezii Extract, Caffeine, Synthetic, Fluorphlogopite, Acetyl Glutamine, Hesperidin Methyl Chalcone, Caesalpinia Spinosa Fruit Extract, Titanium Dioxide, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Steareth-20, Sh-Oligopeptide-1, Sh- Oligopeptide-2, Dipeptide-2, Sodium Hyaluronate, Sh-Polypeptide-1, Sh- Polypeptide-9, Sh-Polypeptide-11, Bacillus/Soybean/Folic Acid Ferment, Boswellia Serrata Extract, Centella Asiatica Extract, Palmitoyl Tetrapeptide-7, Butylene Glycol, Betula Alba Bark Extract, Chlorhexidine Digluconate, Tin Oxide, 1,2- Hexanediol, Potassium Sorbate, Polygonum Cuspidatum Root Extract, Peg-12 Dimethicone, Camellia Sinensis Leaf Extract, Sodium Benzoate, Iron Oxides (Ci 77491, Ci 77492).",https://www.sephora.com/product/no-more-baggage-eye-de-puffing-gel-P421759?icid2=products%20grid:p421759:product
Dr. Brandt Skincare,needles no more™,['A revolutionary topical cream that targets lines and wrinkles to visibly improve the look of expression lines.'],['- Fine lines and wrinkles'], Needles No More is formulated with an exclusive tri-blend wrinkle smoother a powerful synergistic smoother with peptides and minerals. It helps to provide instant* and long-term smoothing effect while visibly improving the look of expression lines. *Individual results may vary.,"-Tri-blend Wrinkle Smoother: A powerful synergistic smoother of peptides and minerals.,,Water, Perfluorohexane, Butyrospermum Parkii Butter, Perfluoroperhydrophenanthrene, Perfluorodecalin, Butylene Glycol, Dicaprylate/Dicaprate, Hydrogenated Lecithin, Polymethyl Methacrylate, Sodium Acrylates Copolymer, Magnesium Gluconate, C12-16 Alcohols, Palmitic Acid, Glyceryl Stearate, Isopropyl Palmitate, Methyl Methacrylate Crosspolymer, Glycerin, Phenoxyethanol, Prolinamidoethyl Imidazole, Cetearyl Alcohol, Menthone Glycerin Acetal, Glutamylamidoethyl Imidazole, Tocopherol, Lecithin, Stearic Acid, Sodium Cocoyl Glutamate, Butylene Glycol, Xanthan Gum, Hydroxyethylcellulose, Chlorphenesin, Sodium Phytate, Ethylhexylglycerin, Ricinus Communis (Castor) Seed Oil, Anthemis Nobilis Flower Oil, Silanediol Salicylate, Adenosine, Tromethamine, Linalool, Palmitoyl Hexapeptide-52, Polyvinyl Alcohol, Lactic Acid, Glycolic Acid, Palmitoyl Heptapeptide-18, Methylpropanediol, Lavandula Angustifolia (Lavender) Flower Extract.",https://www.sephora.com/product/needles-no-more-P391802?icid2=products%20grid:p391802:product
Dr. Brandt Skincare,101 Skincare Junkie Kit,A five-piece set of skincare favorites—inspired by in-office procedures for maximum results in minimal time—for polished smooth and hydrated skin. ,['- Dullness and uneven texture- Fine lines and wrinkles- Dryness'], Microdermabrasion Age Defying Exfoliator reveals healthy-looking glowing skin with non-abrasive micro-crystals and soothing botanicals for skin that’s fresh and bright. Microdermabrasion Age Defying Exfoliator is powered by a biotic complex and soothing peptides along with a restorative blend of ceramides fatty acids and calming actives that work in harmony to nourish skin overnight. Needles No More Wrinkle Smoothing Cream targets lines on forehead crow's feet and between brows. It features an exclusive tri-blend smoother that works synergistically in three stages to help smooth lines. No More Baggage Eye De-Puffing Gel is formulated with a biomimetic filmatrix technology peptides and botanical extracts to visibly reduce the look of under-eye bags and circles. The potent yet gentle 24/7 Retinol Eye Cream is a light-reflecting age-fighting formula with the perfect combination of retinol and a ruby-crystal complex that illuminates the eye.  This set contains:- 2 oz/ 60 g Microdermabrasion Age Defying Exfoliator- 0.3 oz/10 g Hydro Biotic Recovery Sleeping Mask- 0.1 oz/3 g Needles No More Wrinkle Smoothing Cream- 0.1 oz/3 g No More Baggage Eye De-Puffing Gel- 0.1 oz/3 g 24/7 Retinol Eye Cream,"Microdermabrasion Age Defying Exfoliator:,Water, Alumina, Caprylic/Capric Triglyceride, Glycerin, Cetyl Alcohol, Glyceryl Stearate, Peg-100 Stearate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Simmondsia Chinensis (Jojoba) Seed Oil, Xanthan Gum, Phenoxyethanol, Lactic Acid, Fragrance (Parfum), Menthone Glycerin Acetal, Caprylyl Glycol, Allantoin, Disodium Edta, Tocopheryl Acetate, Magnesium Oxide, Sodium Benzoate, Propylene Glycol, Aloe Barbadensis Leaf Extract, Vitis Vinifera (Grape) Seed Extract, Chamomilla Recutita (Matricaria) Flower Extract, Camellia Sinensis Leaf Extract, Citral, Limonene.,,Hydro Biotic Recovery Sleeping Mask:,Water, Dimethicone, Propanediol, Glycerin, Sodium Chloride, Dimethicone Peg-10/15 Crosspolymer, Lactococcus Ferment Lysate, Hexyldecanol, Inulin, 1,2-Hexanediol, Sodium Benzoate, Yogurt Powder, Peg-10 Dimethicone, Butylene Glycol, Tamarindus Indica Seed Polysaccharide, Sodium Citrate, Caprylhydroxamic Acid, Tocopheryl Acetate, Lavandula Angustifolia (Lavender) Oil, Trisodium Ethylenediamine Disuccinate, Bisabolol, Cetylhydroxyproline Palmitamide, Stearic Acid, Honey, Brassica Campestris (Rapeseed) Sterols, Rosa Damascena Flower Oil, Camellia Sinensis Leaf Extract, Phenoxyethanol, Vitis Vinifera (Grape) Seed Extract, Boswellia Serrata Extract, Honey Extract, Sodium Copper Chlorophyllin, Aspalathus Linearis (Rooibos) Extract, Saccharomyces Polypeptides.,,Needles No More Wrinkle Smoothing Cream:,Water, Perfluorohexane, Butyrospermum Parkii Butter, Perfluoroperhydrophenanthrene, Perfluorodecalin, Butylene Glycol, Dicaprylate/Dicaprate, Hydrogenated Lecithin, Polymethyl Methacrylate, Sodium Acrylates Copolymer, Magnesium Gluconate, C12-16 Alcohols, Palmitic Acid, Glyceryl Stearate, Isopropyl Palmitate, Methyl Methacrylate Crosspolymer, Glycerin, Phenoxyethanol, Prolinamidoethyl Imidazole, Cetearyl Alcohol, Menthone Glycerin Acetal, Glutamylamidoethyl Imidazole, Tocopherol, Lecithin, Stearic Acid, Sodium Cocoyl Glutamate, Butylene Glycol, Xanthan Gum, Hydroxyethylcellulose, Chlorphenesin, Sodium Phytate, Ethylhexylglycerin, Ricinus Communis (Castor) Seed Oil, Anthemis.,,No More Baggage Eye De-Puffing Gel:,Water, Sodium Magnesium Silicate, Propanediol, Magnesium Aluminum Silicate, Phenoxyethanol, Lecithin, Kappaphycus Alvarezii Extract, Caffeine, Synthetic, Fluorphlogopite, Acetyl Glutamine, Hesperidin Methyl Chalcone, Caesalpinia Spinosa Fruit Extract, Titanium Dioxide, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Steareth-20, Sh-Oligopeptide-1, Sh- Oligopeptide-2, Dipeptide-2, Sodium Hyaluronate, Sh-Polypeptide-1, Sh- Polypeptide-9, Sh-Polypeptide-11, Bacillus/Soybean/Folic Acid Ferment, Boswellia Serrata Extract, Centella Asiatica Extract, Palmitoyl Tetrapeptide-7, Butylene Glycol, Betula Alba Bark Extract, Chlorhexidine Digluconate, Tin Oxide, 1,2- Hexanediol, Potassium Sorbate, Polygonum Cuspidatum Root Extract, Peg-12 Dimethicone, Camellia Sinensis Leaf Extract, Sodium Benzoate, Iron Oxides (Ci 77491, Ci 77492).,,24/7 Retinol Eye Cream:,Water, Glycerin, Cyclopentasiloxane, Propanediol, Dimethiconol, Coco-Caprylate/Caprate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Phenoxyethanol, Mica, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Citrus Nobilis (Mandarin Orange) Peel Oil, Sodium Benzoate, Isohexadecane, Polysorbate 60, Triethoxycaprylylsilane, Maslinic Acid, Caprylic/Capric Triglyceride, Sodium Hydroxide, Hyaluronic Acid, Ruby Powder, Ethylhexylglycerin, Aluminum Hydroxide, Glycine Soja (Soybean) Oil, Glucosyl Hesperidin, Tocopheryl Acetate, Retinol, Lecithin, Limonene, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491).",https://www.sephora.com/product/101-skincare-junkie-kit-P429527?icid2=products%20grid:p429527:product
Dr. Brandt Skincare,needles no more® 3-D filler mask,[' A doctor-designed leave-on mask to visually revolumize and reshape the appearance of face contours.'],['- Loss of firmness and elasticity- Fine lines and wrinkles'],This leave-on mask restores volume and youthful-looking contours giving your skin an instantly* smoother look. It’s specially formulated with a potent age-defying combination including hyaluronic acid peptides and an Adipofill'in™ Complex. *Individual results may vary.This set contains:- 1.7 oz/ 50 mL Needles No More® 3-D Filler Mask- Brush,"-Adipofill’in™ Complex: Contains hyaluronic acid; visually revolumizes, fills, and reshapes the appearance of face contours.,-Peptides: Helping to reshape the appearance of face contours.,-Adipofill’in Encapsulated Amino Acids: Help maintain volume and minimize the look of wrinkles over time.,,Water Butyrospermum Parkii (Shea) Butter, Polymethyl Methacrylate, Dimethicone/Vinyl Dimethicone Crosspolymer, Sodium Acrylates Copolymer, Methylsilanol Hydroxyproline Aspartate, Phospholipids, Phenoxyethanol, Silica, Dimethylsilanol Hyaluronate, Lecithin, Silanetriol, Trehalose, Xanthan Gum, Chlorphenesin, Caprylyl Glycol, Sodium Hyaluronate, Tocopherol, Peg-40 Stearate,Hyaluronic Acid, Ethylhexylglycerin, Disodium Edta, Diethylhexyl Adipate,Helianthus Annuus (Sunflower) Seed Oil, Betaine, Propanediol, Olea Europaea (Olive) Fruit Oil, Ornithine, Ricinus Communis (Castor) Seed Oil, Anthemis Nobilis Flower Oil, Palmitoyl Oligopeptide, C10-18 Triglycerides, Glycolic Acid, Centella Asiatica Extract, Lactic Acid, Polyvinyl Alcohol, Glycolipids, Lavandula Angustifolia (Lavender) Flower Extract, Hydrolyzed Wheat Protein, Palmitoyl Decapeptide-21, Decapeptide-22, Oligopeptide-78, Zinc Palmitoyl Nonapeptide-14.",https://www.sephora.com/product/needles-no-more-3-d-filler-mask-P404010?icid2=products%20grid:p404010:product
Dr. Brandt Skincare,Do Not Age with Dr. Brandt Moisturizing Neck Cream,[' An age-defying neck cream that helps smooth skin and provide a more lifted appearance.'],['- Dryness- Dullness and uneven texture- Loss of firmness and elasticity'], This powerful age-defying luxurious cream targets the delicate skin of the neck and dècolletè helping it to regain its suppleness. The neck dècolletè and jawline areas appear firmed and redefined as skin regains a smoother more lifted appearance.,"-Glycolic Acid: AHA derived from sugar cane.,-Blend of Essential Amino Acid and Calcium: Targets the delicate skin of the neck and dècolletè.,-Sorghum Juice: Helps regain skin’s suppleness.,,Water, Caprylic/Capric Triglyceride, Squalane, Glycerin, Glycolic Acid, Phenyl Trimethicone, Cetyl Alcohol, Glyceryl Stearate, Peg-100 Stearate, Hydrogenated Castor Oil, Shea Butter, Sorbitan Stearate, Cholesterol, Sodium Hyaluronate, Canola Oil, Corn Starch, Silica, Xanthan Gum, Bis-Diglyceryl Polyacyladipate-2, Phenoxyethanol, Sodium Hydroxide, Magnesium Aluminum Silicate, Stearamidopropyl Dimethylamine, Hydroxyethylcellulose, Tetrasodium Edta, Sodium Polystyrene Sulfonate, Sorghum Bicolor Stalk Juice, Acetyl Tetrapeptide-17, Colloidal Platinum, Pentylene Glycol, Polysorbate-20, Ethylhexylglycerin, 3-Aminopropane Sulfonic Acid, Calcium Hydroxymethionine, Calcium Hydroxymethionine, Willow Bark Extract, Geranium Maculatum Oil, Simethicone, Tocopheryl Acetate, Ascorbyl Palmitate.",https://www.sephora.com/product/do-not-age-with-dr-brandt-moisturizing-neck-cream-P383052?icid2=products%20grid:p383052:product
Dr. Brandt Skincare,No Filter Needed Kit,A set of four bestselling products for photo-ready beautiful healthy-looking skin.,['- Puffiness- Oiliness- Dullness and uneven skin texture'], This four-piece set will help refine skin de-puff under eyes and smooth texture. Begin with dr. brandt® microdermabrasion to exfoliate and refine the look of skin’s texture and soften imperfections for a radiant smoother clearer and brighter-looking complexion. Follow with the 24/7 Retinol Eye Cream; this potent yet gentle light-reflecting and age-fighting cream creates beautifully bright captivating eyes that command attention. The result of a carefully measured combination of retinol and a specially formulated ruby crystal complex it illuminates eye contours while smoothing the look of fine lines helping to reduce wrinkles and infusing the skin with moisture for a supple youthful-looking eye area. Then apply Needles No More® No More Baggage® eye de-puffing gel a quick innovative solution for aging tired-looking eyes. It provides a tightening effect and smooths the under-eye contour to visually reduce the appearance of under-eye bags and dark circles for an immediately brighter well-rested look. It also works over time to help restore a youthful eye contour for a consistently smooth and improved appearance. Finish with the bestselling Pore Refiner Primer which tamps down shine and creates a velvety base and blurs the look of pores and lines. Wear it under foundation and makeup—they’ll glide on smoother and last longer—or go bare-skinned. Your newly matte complexion will look airbrushed.This set contains:- 0.5 oz/ 15 mL No More Baggage eye de-puffing gel - 1 oz/ 30 mL pores no more Pore Refiner Primer - 0.3 oz/ 10 mL dr. brandt microdermabrasion- 0.1 oz/ 3 mL 24/7 Retinol Eye Cream,"No More Baggage eye de-puffing gel:,Water, Sodium Magnesium Silicate, Propanediol, Magnesium Aluminum Silicate, Phenoxyethanol, Lecithin, Kappaphycus Alvarezii Extract, Caffeine, Synthetic, Fluorphlogopite, Acetyl Glutamine, Hesperidin Methyl Chalcone, Caesalpinia Spinosa Fruit Extract, Titanium Dioxide, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Steareth-20, Sh-Oligopeptide-1, Sh- Oligopeptide-2, Dipeptide-2, Sodium Hyaluronate, Sh-Polypeptide-1, Sh- Polypeptide-9, Sh-Polypeptide-11, Bacillus/Soybean/Folic Acid Ferment, Boswellia Serrata Extract, Centella Asiatica Extract, Palmitoyl Tetrapeptide-7, Butylene Glycol, Betula Alba Bark Extract, Chlorhexidine Digluconate, Tin Oxide, 1,2- Hexanediol, Potassium Sorbate, Polygonum Cuspidatum Root Extract, Peg-12 Dimethicone, Camellia Sinensis Leaf Extract, Sodium Benzoate, Iron Oxides (Ci 77491, Ci 77492).,,Pores No More® Pore Refiner Primer:,Cyclopentasiloxane, Dimethicone Crosspolymer, Methyl Methacrylate Crosspolymer, Lauryl Peg/Ppg-18/18 Methicone, Peg/Ppg-18/18 Dimethicone, Cyclotetrasiloxane, Magnesium Silicate, Calcium Aluminum Borosilicate, Dimethicone/Vinyl Dimethicone Crosspolymer, Linum Usitatissimum (Linseed) Seed Extract, Dimethyl Oxobenzo Dioxasilane, Ethylhexyl Palmitate, Phenoxyethanol, Lavandula Angustifolia (Lavender) Oil, Silica Dimethyl Silylate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Silica, Triethoxycaprylylsilane, Caprylyl Glycol, Propylene Glycol, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).,,dr. brandt® Microdermabrasion:,Water, Alumina, Caprylic/Capric Triglyceride, Glycerin, Cetyl Alcohol, Glyceryl Stearate, Peg-100 Stearate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Simmondsia Chinensis (Jojoba) Seed Oil, Xanthan Gum, Phenoxyethanol,Lactic Acid, Fragrance (Parfum), Menthone Glycerin Acetal, Allantoin, Disodium Edta, Tocopheryl Acetate, Magnesium Oxide, Propylene Glycol, Aloe Barbadensis Leaf Extract, Vitis Vinifera (Grape) Seed Extract, Chamomilla Recutita (Matricaria) Flower Extract, Camellia Sinensis Leaf Extract, Citral, Limonene.,,24/7 Retinol Eye Cream:,Water, Glycerin, Cyclopentasiloxane, Propanediol, Dimethiconol, Coco-Caprylate/Caprate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Phenoxyethanol, Mica, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Citrus Nobilis (Mandarin Orange) Peel Oil, Sodium Benzoate, Isohexadecane, Polysorbate 60, Triethoxycaprylylsilane, Maslinic Acid, Caprylic/Capric Triglyceride, Sodium Hydroxide, Hyaluronic Acid, Ruby Powder, Ethylhexylglycerin, Aluminum Hydroxide, Glycine Soja (Soybean) Oil, Glucosyl Hesperidin, Tocopheryl Acetate, Retinol, Lecithin, Limonene, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491).",https://www.sephora.com/product/no-filter-needed-kit-P433882?icid2=products%20grid:p433882:product
Dr. Brandt Skincare,Do Not Age with Dr. Brandt Triple Peptide Eye Cream,['An age-defying eye cream powered by Dr. Brandt’s exclusive Triple Peptide Complex.'],['- Dark circles- Fine lines and wrinkles- Puffiness'],[' This ultra-rich formula glides on skin to rejuvenate and illuminate. It helps replenish moisture while reducing the look of dark circles. This formula diminishes the appearance of lines and wrinkles to create a more rested look.'],"-Triple Peptides: Provides a more youthful look.,-Phospholipids, Ceramide 3, and Shea Butter: Hydrates and moisturizes.,-Caffeine: Helps reduce the look of puffiness and dark circles.,,Water, Shea Butter, Lecithin, Methylsilanol Hydroxyproline Aspartate, Cyclopentasiloxane, Cetyl Palmitate, Siloxanetriol Alginate, C12-16 Alcohols, Glycerin, Cetyl Alcohol, Cetyl Lactate, Octyldodecyl Stearate, Glyceryl Stearate Citrate, Acetyl Hexapeptide-8, Jojoba Seed Oil, Dimethicone, Bis-Hydroxyethoxypropyl Dimethicone, Palmitic Acid, Butylene Glycol, Phenoxyethanol, Polyglyceryl-3-Stearate, Propylene Glycol, Betaine, Tocopheryl Acetate, Acetyl Citrull Amido Arginine, Palmitoyl Oligopeptide, Camellia Oleifera Leaf Extract, Lavender Oil, Xanthan Gum, Glyceryl Polymethacrylate, Caffeine, Sodium Acrylates Copolymer, Tetrasodium Edta, Bht, Ascorbic Acid Polypeptide, Retinyl Palmitate, Sodium Pca, Hydrogenated Polyisobutene, Phospholipids, Ethylhexylglycerin, Disodium Edta, Ceramide 3, Polyglyceryl-10 Stearate, Sunflower Seed Oil, Grape Fruit Extract, Sorbic Acid.",https://www.sephora.com/product/do-not-age-with-dr-brandt-triple-peptide-eye-cream-P383053?icid2=products%20grid:p383053:product
Dr. Brandt Skincare,MAGNETIGHT Age-Defier™ Mask, An anti-aging iron-infused mask and magnet removal tool that work together to refine purify and revitalize the look of skin.,['- Dullness and uneven texture- Loss of firmness and elasticity'], This innovative and effective magnetized mask uses magnetic currents to zap away visible signs of skin aging. The mask is infused with iron magnetic particles that draw out impurities and daily residue trapped on the skin while electromagnetic interactions create a “force-field effect” that lends skin a tighter feeling over time. Skin is visibly radiant smoother firmer and tighter for younger-looking skin overtime.,"-Peptide: Smooths the look of wrinkles and visibly firms.,-Black Tourmaline: Boosts skin's energy, leaving it looking radiant.,-Skin Scavenger (Molecule Antioxidant): Purifies and protects against age-causing pollutants and environmental stress to minimize their damaging effect.,,Iron Powder, Dimethicone, Polysilicone-11, Nylon-12, C12-15 Alkyl Benzoate, Silica, Tribehenin, Polymethylsilsesquioxane, Peg-10 Dimethicone, Polysorbate 40, Hdi/Trimethylol Hexyllactone Crosspolymer, Ceramide Ng, Peg-10 Phytosterol, Tourmaline, Lavandula Angustifolia (Lavender) Oil, Isohexadecane, Ammonium Polyacryloyldimethyl Taurate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Palmitoyl Hexapeptide-12, Pelargonium Graveolens (Geranium) Flower Oil, Dimethylmethoxy Chromanol, Anthemis Nobilis (Chamomile) Flower Oil, Limonene, Linalool, Citronellol, Geraniol.",https://www.sephora.com/product/magnetight-age-defier-P411254?icid2=products%20grid:p411254:product
