Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
Giorgio Armani Beauty,Lip Maestro ,[],[],[],"-Velvet Gel: Provides sensorial texture and a silky finish.,-Anti-Shine Powders: Absorb oils and mattify color.,-Nourishing Paste: Provides four hours of hydration and comfort that lasts all day.",https://www.sephora.com/product/lip-maestro-P393411?icid2=you%20may%20also%20like:p393411:product
Anastasia Beverly Hills,Brow Wiz,[],[],[],"-Vitamin E: Helps skin fight damage caused by the environment.,-Plant Oils: Hydrate, soothe, and soften the skin.,,Hydrogenated Soybean Oil, Hydrogenated Coco-Glycerides, Hydrogenated Vegetable Oil/Hydrogenated Huile Végétale, Zinc Stearate, Stearic Acid, Copernicia Cerifera (Carnauba) Wax, Polyglyceryl-2 Triisostearate, Tocopheryl Acetate, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol. May Contain: Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Ferric Ferrocyanide (Ci 77510).",https://www.sephora.com/product/brow-wiz-P202633?icid2=you%20may%20also%20like:p202633:product
Urban Decay,Naked Palette,[],[],[],"Creep:,Talc, Ethylhexyl Palmitate, Zinc Stearate, Sodium Dehydroacetate, Phenoxyethanol, Sorbic Acid, Tin Oxide. [+/- (May Contain): CI 77491, CI 77492, CI 77499 / Iron Oxides, Mica, CI 77891 / Titanium Dioxide].,,All Other Shades:,Talc, Caprylic/Capric Triglyceride, Zinc Stearate, PTFE, Polyethylene Terephthalate, Calcium Aluminum Borosilicate, Ethylene/Acrylic Acid Copolymer, Calcium Sodium Borosilicate, Sodium Dehydroacetate, Synthetic Fluorphlogopite, Phenoxyethanol, Silica, Sorbic Acid, Polyurethane-33, Aluminum Hydroxide, Tin Oxide, Acrylates Copolymer, Polybutylene Terephthalate, Polylactic Acid, Polymethyl Methacrylate, Stearic Acid, Calcium Stearate, Magnesium Stearate. [+/- (All Shades May Contain): Mica, CI 77891 / Titanium Dioxide, CI 77491, Ci 77492, Ci 77499 / Iron Oxides, CI 77742 / Manganese Violet, CI 77007 / Ultramarines, CI 77163 / Bismuth Oxychloride, CI 77400 / Bronze Powder, CI 77000 / Aluminum Powder, CI 75470 / Carmine, CI 42090 / Blue 1 Lake, CI 77510 / Ferric Ferrocyanide, CI 77288 / Chromium Oxide Greens, CI 77510 / Ferric Ammonium Ferrocyanide, CI 77400 / Copper Powder, CI 77289 / Chromium Hydroxide Green, CI 19140 / Yellow 5 Lake, CI 19140 / Yellow 5].",https://www.sephora.com/product/naked-palette-P267200?icid2=you%20may%20also%20like:p267200:product
Dr. Brandt Skincare,pores no more® pore refiner primer,['An effective primer that instantly* mattifies shine and minimizes the look of pores. *Individual results may vary.'],['- Oiliness- Pores- Dullness and uneven texture'],[],"-Tea Tree Oil: Essential oil.,-Flaxseed Extract: Absorbs oil and reduces shine,.,-Microspheres: Mineral-rich powders that immediately minimize the appearance of large pores.,,Cyclopentasiloxane, Dimethicone Crosspolymer, Methyl Methacrylate Crosspolymer, Lauryl Peg/Ppg-18/18 Methicone, Peg/Ppg-18/18 Dimethicone, Cyclotetrasiloxane, Magnesium Silicate, Calcium Aluminum Borosilicate, Dimethicone/Vinyl Dimethicone Crosspolymer, Linum Usitatissimum (Linseed) Seed Extract, Dimethyl Oxobenzo Dioxasilane, Ethylhexyl Palmitate, Phenoxyethanol, Lavandula Angustifolia (Lavender) Oil, Silica Dimethyl Silylate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Silica, Triethoxycaprylylsilane, Caprylyl Glycol, Propylene Glycol, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).",https://www.sephora.com/product/pores-no-more-pore-refiner-primer-P139005?icid2=you%20may%20also%20like:p139005:product
Kat Von D,Tattoo Liner,[],[],[],,https://www.sephora.com/product/tattoo-liner-P245205?icid2=you%20may%20also%20like:p245205:product
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,[],[],[],"['Water, Dimethicone, Talc, Peg-10 Dimethicone, Trimethylsiloxysilicate, Polypropylene, Isododecane, Cetyl Peg/Ppg-10/1 Dimethicone, Nylon-12, Hdi/Trimethylol Hexyllactone Crosspolymer, Phenoxyethanol, Sodium Chloride, Hydrogen Dimethicone, Glycerin, Magnesium Sulfate, Sodium Dehydroacetate, Disteardimonium Hectorite, Aluminum Hydroxide, Methicone, Benzoic Acid, Dehydroacetic Acid, Propylene Carbonate, Ethylhexylglycerin, Parfum/Fragrance, Silica, Biosaccharide Gum-4, Ananas Sativus (Pineapple) Fruit Extract, Carica Papaya (Papaya) Fruit Extract, Paullinia Cupana Seed Extract, Potassium Sorbate, Sorbic Acid. May Contain (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI77499).']",https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?icid2=you%20may%20also%20like:p87985432:product
NARS,Radiant Creamy Concealer,[],[],[],,https://www.sephora.com/product/radiant-creamy-concealer-P377873?icid2=you%20may%20also%20like:p377873:product
Laura Mercier,Translucent Loose Setting Powder,[],[],[],"['Talc, Magnesium Myristate, Nylon-12, Caprylic/Capric Triglyceride, EthylhexylPalmitate, Zea Mays (Corn) Starch, Sodium Dehydroacetate, Methylparaben, Lauroyl Lysine, Propylparaben, Polymethyl Methacrylate, Butylparaben, Ascorbyl Palmitate, Glycine Soja (Soybean) Oil, Tocopherol, Methicone. May contain: Ultramarines (Cl 77007), Iron Oxides (Cl 77491, Cl 77492, Cl 77499).']",https://www.sephora.com/product/translucent-loose-setting-powder-P109908?icid2=you%20may%20also%20like:p109908:product
SEPHORA COLLECTION,Contour Blush Palette,[],[],[],,https://www.sephora.com/product/contour-blush-palette-P417988?icid2=you%20may%20also%20like:p417988:product
FENTY BEAUTY by Rihanna,Gloss Bomb Universal Lip Luminizer,[],[],[],"['Polybutene, Octyldodecanol, Bis-Diglyceryl Polyacyladipate-2, Tricaprylin, Cera Microcristallina/Microcrystalline Wax/Cire Microcristalline, Polyethylene, Silica Dimethyl Silylate, Vp/Eicosene Copolymer, Vp/Hexadecene Copolymer, Butyrospermum Parkii (Shea) Butter, Mica, Sorbitan Oleate, Silica, Octyldodecyl Neopentanoate, Ethylhexyl Palmitate, Caprylyl Glycol, Butyrospermum Parkii (Shea) Butter Unsaponifiables, Aroma/Flavor, Parfum/Fragrance, Tribehenin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sorbitan Isostearate, Tocopherol, Tocopheryl Acetate, Synthetic Fluorphlogopite, Tetrahexyldecyl Ascorbate, Lactic Acid, Calcium Sodium Borosilicate, Calcium Aluminum Borosilicate, Polyethylene Terephthalate, Palmitoyl Tripeptide-1, Acrylates Copolymer, Tin Oxide, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499), Benzyl Benzoate, Limonene.']",https://www.sephora.com/product/gloss-bomb-universal-lip-luminizer-P67988453?icid2=you%20may%20also%20like:p67988453:product
