Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
Dr. Jart+,Superheroes Skin Transformers,A seven-piece skincare kit that soothes moisturizes conceals and comforts. ,['- Dryness- Dark spots- Dullness and uneven skin tone '], Cicapair™ Tiger Grass Color Correcting Treatment SPF 30 is a green-to-beige color-correcting treatment that corrects redness and helps protect skin from environmental aggressors. Cicapair™ Tiger Grass Re.Pair Serum is a highly concentrated fast-acting serum that soothes skin sensitivity while calming redness and irritation. The Water Fuse Hydro Sleep Mask enhances skin’s moisture level and removes impurities overnight to restore optimal skin condition. Ceramidin Cream is a powerful and rich moisturizer infused with ceramides to strengthen the skin's natural protective barrier while delivering a moisture boost. Premium BB Beauty Balm SPF 45 is a cult-favorite all-in-one beauty balm that perfects the complexion with a powerful anti-aging complex while shielding skin from UV damage.The exclusive preview: Peptidin Radiance Serum is a lightweight serum power-packed with eight-peptide complex and peach flower extract to jumpstart tired skin with an instant pop of radiance. And Peptidin Firming Serum is a lightweight serum power-packed with eight-peptide complex and borage flower extract to recharge rough and fatigued complexion leaving skin with a plump and pillowy feel.,,https://www.sephora.com/product/superheroes-skin-transformers-P436128?icid2=products%20grid:p436128:product
Dr. Jart+,Mask Heroes Face Savers,['A set of six of Dr. Jart’s favorite masks to pamper yourself when things go wrong.'],['- Dryness- Fine lines and wrinkles- Dullness and uneven texture '],In this set Dr. Jart brings together six of its bestselling face masks including two cult-favorite Lover Rubber masks. The Hydration Lover Rubber Mask is a targeted two-step rubber mask that facilitates the delivery of actives while providing cooling benefits. The Firm Lover Rubber Mask is a two-step rubber mask that delivers actives into the skin while providing cooling benefits for a visibly more defined and contoured complexion. The Dermask Micro Jet Clearing Solution™ is an ultra-fine microfiber sheet mask that helps combat breakouts and reduces the appearance of scars and uneven skin tone. The Dermask Micro Jet Brightening Solution™ is a microfiber sheet mask that brightens dull and uneven skin tone. The Prescriptment Water Replenishment Cotton Sheet Mask is an ultra-hydrating face mask that moisturizes dry dehydrated skin. The Pore Minimalist Black Charcoal Sheet Maskis infused with Korean charcoal to detoxify and reduce the appearance of pores.This set contains:- Hydration Lover Rubber Mask- Firm Lover Rubber Mask- Dermask Micro Jet Clearing Solution™ Mask- Dermask Micro Jet Brightening Solution™ Mask- Prescriptment Water Replenishment Cotton Sheet Mask- Pore Minimalist Black Charcoal Sheet Mask,,https://www.sephora.com/product/mask-heroes-face-savers-P436125?icid2=products%20grid:p436125:product
Dr. Jart+,Sheet Masks,A collection of sheet masks to provide targeted benefits to the face eye and neck. ,['- Dryness- Fine lines and wrinkles- Loss of firmness and elasticity'], From brightening to purifying to fighting blemishes these targeted sheet masks from Dr. Jart+ are each made with fine cellulose fiber to help deliver maximum targeted actives to the skin delivering optimum results. Each mask also creates a cooling sensation to calm skin and applies acupressure to support natural circulation. ,,https://www.sephora.com/product/sheet-masks-P429529?icid2=products%20grid:p429529:product
Dr. Jart+,Premium Beauty Balm SPF 45,[],[],[],,https://www.sephora.com/product/premium-beauty-balm-spf-45-P285403?icid2=products%20grid:p285403:product
Dr. Jart+,Holiday Fantasy Cera Never Runs Dry,A moisture set that prevents dryness—even in the cold harsh South Pole. ,['- Dryness- Loss of firmness and elasticity '], Ceramidin™ Cream is a powerful and rich moisturizer infused with ceramides to strengthen the skin's natural protective barrier while delivering a moisture boost. Ceramidin™ Liquid is a powerful moisturizing toner infused with ceramides to support the skin's natural protective barrier while delivering a moisture boost for visibly plumper healthy-looking skin. The Ceramidin™ Sheet Mask is an ultra-moisturizing hypoallergenic sheet mask made of natural fiber and ceramides.This set contains:- 0.34 oz/ 10 mL Ceramidin Liquid- 1.69 oz/ 50 mL Ceramidin Cream- 0.34 oz/ 10 mL Ceramidin Cream- 2 x 0.78 oz/ 22 g Ceramidin Facial Mask ,,https://www.sephora.com/product/holiday-fantasy-cera-never-runs-dry-P436905?icid2=products%20grid:p436905:product
Dr. Jart+,Cicapair ™ Tiger Grass Color Correcting Treatment SPF 30,['A green-to-beige color-correcting treatment that corrects redness and helps protect skin from environmental aggressors.'],['- Redness- Uneven skin tone- Acne and blemishes'],Cicapair™ Tiger Grass Color Correcting Treatment is the all-in-one treatment that includes a color-changing capsule within the formula to cover blemishes and restore the look of the skin's strength health and vitality. It provides SPF 30 protection from UV light and it forms a dust barrier to protect the skin from the environment while enhancing the skin’s viability. It restores the strength of skin with the resurrection plants houttuynia cordata and yarrow. It’s infused with sodium potassium calcium and magnesium to help improve the skin’s moisture levels and restore fatigued skin for a healthy appearance. ,,https://www.sephora.com/product/cicapair-tiger-grass-color-correcting-treatment-spf-30-P411540?icid2=products%20grid:p411540:product
Dr. Jart+,Ceramidin™ Cream,['A moisturizing cream supercharged with 5-cera complex that helps visibly strengthens skin and shield from water and moisture loss.'],['- Dryness- Loss of firmness and elasticity'],Now supercharged with 5-cera complex this deeply moisturizing cream is even more effective at visibly strengthening skin and preventing dryness in harsh climates. It also improves the condition of an irritated skin barrier caused by environmental aggressors. This cream is for normal dry and very dry skin experiencing dryness itchiness roughness and discomfort.,,https://www.sephora.com/product/ceramidin-tm-cream-P434363?icid2=products%20grid:p434363:product
Dr. Jart+,Cicapair™ Tiger Grass Re.Pair Serum,A highly concentrated fast-acting serum that soothes skin sensitivity while calming redness and irritation.  ,['- Redness- Acne and blemishes'],[],,https://www.sephora.com/product/tiger-grass-re-pair-serum-P423259?icid2=products%20grid:p423259:product
Dr. Jart+,Cicapair™ Tiger Grass Camo Drops,['A smart hybrid product—an ultra-lightweight revitalizing serum and color corrector that neutralizes redness and turns on skin’s glow. '],['- Redness- Dullness and uneven texture'], Cicapair™ Tiger Grass Camo Drops are an ultra-lightweight revitalizing serum and color corrector in one. A potent botanical complex soothes and color corrects redness as it revitalizes dull skin tone. Dr.Jart's advanced technology with centella asiatica extract helps to soothe irritated skin sensitized by makeup application and external stressors. An antioxidant green energy complex including chlorophyll energizes fatigued skin and protects from environmental damage. The green-to-beige camouflage formula corrects redness and revitalizes dull skin tone as its soft watery texture quickly penetrates skin’s surface to ignite your complexion. Skin appears to glow from within.,,https://www.sephora.com/product/cicapair-tiger-grass-camo-drops-P429250?icid2=products%20grid:p429250:product
Dr. Jart+,"Maskapalooza! Every Mask, Every Concern",['A must-have set with 21 of your favorite masks packed inside—to bring you joyous masking moments and great skin all year long.   '],['- Dryness- Dullness and uneven texture- Loss of firmness and elasticity'],For Dr.Jart fans everywhere! Maskapalooza! Contains all 21 of Dr. Jart’s masks for every skin concern—for you and all your besties. Rubber Masks are hydrating two-step masks that deliver actives into skin while providing cooling benefits. Dermask Masks are ultra-fine microfiber sheet masks that contain targeted ingredients to combat breakouts brighten support elasticity or provide a thorough cleanse. Prescriptment Masks are sheet masks targeted to hydrate reduce the appearance of pores brighten and remove impurities and excess oil. Shake &amp; Shot Masks moisturize brighten and calm the skin.,,https://www.sephora.com/product/maskapalooza-every-mask-every-concern-P436333?icid2=products%20grid:p436333:product
