Brand,Product Name,pH,Ingredients,Image Link,Item Link
The Ordinary,100% Organic Cold-Pressed Rose Hip Seed Oil,N/A,Rosa Canina Seed Oil.,https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-100pct-organic-cold-pressed-rose-hip-seed-oil-30ml.png,https://reissue.co/product/the-ordinary-100--organic-cold-pressed-rose-hip-seed-oil
Drunk Elephant,B-Hydra Intensive Hydration Gel,5.5,"Water/Aqua/Eau, Butylene Glycol, Glycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Pentylene Glycol, Ananas Sativus (Pineapple) Fruit Extract, Berberis Vulgaris Root Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Sclerocarya Birrea Seed Oil, Coconut Alkanes, Panthenol, Sodium PCA, Sodium Hyaluronate Crosspolymer, Sodium Lactate, Dipotassium Glycyrrhizate, Coco-Caprylate/Caprate, Cyclodextrin, Trisodium Ethylenediamine Disuccinate, Citric Acid, Chlorphenesin, Caprylyl Glycol, Phenoxyethanol, Ethylhexylglycerin",https://product-image-uploads.s3-ca-central-1.amazonaws.com//B-Hydra-web_1024x1024.png,https://reissue.co/product/drunk-elephant-b-hydra-intensive-hydration-gel
Cetaphil,Gentle Skin Cleanser,N/A,"Water, Cetyl Alcohol, Propylene Glycol, Sodium Lauryl Sulfate, Stearyl Alcohol, Methylparaben, Propylparaben, Butylparaben",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Gentle-Skin-CleanserCetaphil.png,https://reissue.co/product/cetaphil-gentle-skin-cleanser
Dr. Jart,Cicapair Tiger Grass Color Correcting Treatment,N/A,"Water, Centella Asiatica Leaf Water, Isononyl Isononanoate, Cyclopentasiloxane, Butylene Glycol, Dimethicone, Phenyl Trimethicone, Methyl Methacrylate Crosspolymer, Beeswax/Cire D'abeille, Glycerin, Diethylhexyl Carbonate, Polyglyceryl-3 Polyricinoleate, Niacinamide, Polymethylsilsesquioxane, Cyclohexasiloxane, Pan-Thenol, Diglycerin, Iron Oxides, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Dimethicone/Vinyl Dimethi- Cone Crosspolymer, Isododecane, Ethylene/Methacrylate Copolymer, Cetearyl Alcohol, Polyglyceryl-2 Triisostearate, Aluminum Hydroxide, Stearic Acid, Disteardimonium Hectorite, Acrylates/Ammonium Methacrylate Copolymer, Sclerotium Gum, Sodium Benzoate, Acrylates/Dimethicone Copolymer, Hydrogen Dimethicone, Chromium Oxide Greens, Triethyl Citrate, Potassium Sorbate, Fragaria Vesca (Strawberry) Leaf Extract, Disodium EDTA, BHT, Alcohol, Asiaticoside, Aden- Osine, Triethoxycaprylylsilane, Lavandula Angustifolia (Lavender) Oil, Boron Nitride, Asiatic Acid, Madecassic Acid, Citrus Grandis (Grapefruit) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, 1,2- Hexanediol, Anthemis Nobilis Flower Oil, Houttuynia Cordata Extract, Propanediol, Centella Asiatica Extract, Gentiana Lutea Root Extract, Artemisia Absinthium Extract, Achillea Millefolium Extract, Arnica Montana Flower Extract, Polysorbate 20, Aniba Rosodora (Rosewood) Wood Oil, Sodium Glycerophosphate, Selaginella Lepidophylla Extract, Potassium Magnesium Aspartate, Citric Acid, Calcium Gluconate, Madecassoside, Magnesium Gluconate, Centella Asiatica Meristem Cell Culture, Xanthan Gum, Titanium Dioxide, Zinc Oxide.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//cicapaircct.png,https://reissue.co/product/dr--jart-cicapair-tiger-grass-color-correcting-treatment
CeraVe,Hydrating Cleanser,N/A,"Aqua, Glycerin, Cetearyl Alcohol, Ceramide NP, Ceramide AP, Ceramide EOP, Phytosphingosine, Cholesterol, Hyaluronic Acid, Sodium Lauroyl Lactylate, Behentrimonium Methosulfate, Glyceryl Monostearate, Stearyl Alcohol, Cetyl Alcohol, PEG-40 Stearate, Polysorbate 20, Potassium Phosphate, Dipotassium Phosphate, Methylparaben, Propylparaben, Disodium EDTA, Carbomer, Xanthan Gum.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//CeraVe_HydratingCleanser_v01.png,https://reissue.co/product/cerave-hydrating-cleanser
Hada Labo,Goku-Jyun Hyaluronic Acid Moist Lotion,N/A,"Water, Butylene Glycol, Glycerin, Disodium Succinate, Hydrolyzed Hyaluronic Acid, Hydroxyethycellulose, Methylparaben, PPG-10 Methyl Glucose Ether, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Succinic Acid",https://product-image-uploads.s3-ca-central-1.amazonaws.com//HyaluronicRich_HadaLabo.png,https://reissue.co/product/hada-labo-goku-jyun-hyaluronic-acid-moist-lotion
Drunk Elephant,T.L.C. Sukari Babyfacial™,3.55,"Water (Aqua), Glycolic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Sodium Hydroxide, Salicylic Acid, Aloe Barbadensis Leaf Extract, Camellia Oleifera Leaf Extract, Lactobacillus/Pumpkin Ferment Extract, Lactobacillus/Punica Granatum Fruit Ferment Extract, Opuntia Ficus-Indica Extract, Pyrus Malus (Apple) Fruit Extract, Silybum Marianum Seed Extract, Saccharomyces Cerevisiae Extract, Vitis Vinifera (Grape) Juice Extract, Camellia Sinensis Leaf Powder, Cicer Arietinum Seed Powder, Sclerocarya Birrea Seed Oil, Passiflora Edulis Seed Oil, Leuconostoc/Radish Root Ferment Filtrate, Sodium Hyaluronate Crosspolymer, Sodium PCA, Allantoin, Dipotassium Glycyrrhizate, Dextrin, Polydextrose, Sorbitan Isostearate, Amylopectin, Niacinamide, Phytosphingosine, Lactic Acid, Propanediol, Citric Acid, Titanium Dioxide, Trisodium Ethylenediamine Disuccinate, Polysorbate 60, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Baby-50-web_1024x1024.png,https://reissue.co/product/drunk-elephant-t-l-c--sukari-babyfacial-
Krave Beauty,Matcha Hemp Hydrating Cleanser,N/A,"Camellia Sinensis Leaf Water, Water, Glycerin, Coco-Betaine, Methyl Gluceth-10, Ethoxydiglycol, Dipropylene Glycol, Methylpropanediol, Sodium Chloride, Butoxydiglycol, Diglycerin, Glycereth-26, Xanthan Gum, Camellia Sinensis Leaf Powder, Quillaja Saponaria Bark Extract, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cannabis Sativa (Hemp) Seed Oil, Avena Sativa (Oat) Kernel Extract, Diethoxydiglycol, Coco-Glucoside, Caprylyl Glycol, Glyceryl Caprylate, Decyl Glucoside, Pentylene Glycol, 1,2-Hexanediol, Sodium Cocoyl Isethionate, Butylene Glycol, Octanediol, Panthenol (Vitamin B5), Citric Acid, Ethylhexylglycerin, Caprylic/Capric Triglyceride, Sodium PCA, Disodium EDTA",https://product-image-uploads.s3-ca-central-1.amazonaws.com//MATCHA_CLEANSER.png,https://reissue.co/product/krave-beauty-matcha-hemp-hydrating-cleanser
The Ordinary,Azelaic Acid Suspension 10%,4.5,"Aqua (Water), Isodecyl Neopentanoate, Dimethicone, Azelaic Acid, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Dimethyl Isosorbide, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysilicone-11, Isohexadecane, Tocopherol, Trisodium Ethylenediamine Disuccinate, Isoceteth-20, Polysorbate 60, Triethanolamine, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-azelaic-acid-suspension-10pct-30ml.png,https://reissue.co/product/the-ordinary-azelaic-acid-suspension-10-
Belif,The True Cream Aqua Bomb,N/A,"Water, Dipropylene Glycol, Glycerin, Methl Trimethicone, Alcohol Denat, Dimethicone, Cyclopentasiloxane, 1,2-Hexanediol, Malakite Extract, Caprylic/Capric Triglyceride, Pentaerythrityl Tetraethylhexanoate, PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin, Alchemilla Vulgaris Leaf Extract*, Equisetum Arvense Leaf Extract*, Stellaria Media (Chickweed) Extract*, Urtica Dioica (Nettle) Leaf Extract*, Plantago Lanceolata Leaf Extract*, Avena Sativa (Oat) Kernel Extract**, Calendula Officinalis Flower Extract**, Nepeta Cataria Extract**, Rubus Idaeus (Raspberry) Leaf Extract**, Baptisia Tinctoria Root Extract**, Dimethiconol, Polymethylsilsesquioxane, Sodium Acrylate/Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer, Isohexadecane, Polysorbate 60, Ceramide 3, Cholesterol, Butyrospermum Parkii (Shea) Butter, Phenl Trimethicone, Pentaerythrityl Tetraisostearate, Panthenol, Squalane, Triethylhexanoin, Macadamia Ternifolia Seed Oil, PEG-150, PEG-40 Hydrogenated Castor Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C14-22 Alcohols, Arachidyl Glucoside, Hydrogenated Lecithin, PEG-100 Stearate, Stearic Acid, Glyceryl Stearate, Carbomer, Tromethamine, Trisodium EDTA, Fragrance+, Citronellol, Limonene, Citral, Geraniol, Linalool.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//aqua-bomb-new-final.png,https://reissue.co/product/belif-the-true-cream-aqua-bomb
