Brand,Product Name,pH,Ingredients,Image Link,Item Link
The Ordinary,Niacinamide 10% + Zinc 1%,6,"Aqua (Water), Niacinamide, Pentylene Glycol, Zinc PCA, Dimethyl Isosorbide, Tamarindus Indica Seed Gum, Xanthan gum, Isoceteth-20, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-niacinamide-10pct-zinc-1pct-30ml.png,https://reissue.co/product/the-ordinary-niacinamide-10----zinc-1-
COSRX,Low pH Good Morning Gel Cleanser,5.3,"Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA",https://product-image-uploads.s3-ca-central-1.amazonaws.com//lowphgoodmorninggelcleanser.png,https://reissue.co/product/cosrx-low-ph-good-morning-gel-cleanser
Thayer's,Alcohol-Free Rose Petal Witch Hazel Toner,5.7,"Purified Water, Certified Organic Witch Hazel Ext Blend (Hamamelis Virginiana Extract (Witch Hazel*), Aloe Barbadensis Leaf Juice (Filet of Aloe Vera*)), Glycerin, Phenoxyethanol, Rosa Centifolia (Rose) Flower Water, Fragrance (Natural Rose), Citric Acid, Citrus Grandis (Grapefruit) Seed Extract.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//RosePetal_Thayers.png,https://reissue.co/product/thayer-s-alcohol-free-rose-petal-witch-hazel-toner
Pixi,Glow Tonic,4.5,"Water/Aqua/Eau, Aloe Barbadensis Leaf Juice, Glycolic Acid, Butylene Glycol, Glycerin, Sodium Hydroxide, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Hexylene Glycol, Fructose, Glucose, Sucrose, Urea, Dextrin, Alanine, Glutamic Acid, Aspartic Acid, Hexyl Nicotinate, Panax Ginseng Root Extract, Ethylhexylglycerin, Disodium EDTA, Biotin, Panthenol, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Phenoxyethanol, Fragrance (Parfum), Caramel, Red 4 (CI 14700)",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Glow_Tonic_Pixi.png,https://reissue.co/product/pixi-glow-tonic
The Ordinary,AHA 30% + BHA 2% Peeling Solution,3.6,"Glycolic Acid, Aqua (Water), Aloe Barbadensis Leaf Water, Sodium Hydroxide, Daucus Carota Sativa Extract, Propanediol, Cocamidopropyl Dimethylamine, Salicylic Acid, Potassium Citrate, Lactic Acid, Tartaric Acid, Citric Acid, Panthenol, Sodium Hyaluronate Crosspolymer, Tasmannia Lanceolata Fruit/Leaf Extract, Glycerin, Pentylene Glycol, Xanthan gum, Polysorbate 20, Trisodium Ethylenediamine Disuccinate, Potassium Sorbate, Sodium Benzoate, Ethylhexylglycerin, 1,2-Hexanediol, Caprylyl Glycol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-aha-30pct-bha-2pct-peeling-solution-30ml.png,https://reissue.co/product/the-ordinary-aha-30----bha-2--peeling-solution
COSRX,Acne Pimple Master Patch,N/A,,https://product-image-uploads.s3-ca-central-1.amazonaws.com//Front-patch.png,https://reissue.co/product/cosrx-acne-pimple-master-patch
COSRX,Advanced Snail 96 Mucin Power Essence,N/A,"Snail Secretion Filtrate, Betaine, Butylene Glycol, 1,2-Hexanediol, Sodium Hyaluronate, Panthenol, Arginine, Allantoin, Ethyl Hexanediol, Sodium Polyacrylate, Carbomer, Phenoxyethanol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//snail96_essence_IMG_4268.png,https://reissue.co/product/cosrx-advanced-snail-96-mucin-power-essence
COSRX,Aloe Soothing Sun Cream SPF50 PA+++,N/A,"Water, Ethylhexyl Methoxycinnamate, Glycerin, Propylene Glycol, Cyclopentasiloxane, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Phenylbenzimidazole Sulfonic Acid, Dicaprylyl Carbonate, Isoamyl P-Methoxycinnamate, Potassium Cetyl Phosphate, Alcohol, Dimethicone, Glyceryl Stearate, Butylene Glycol, Titanium Dioxide, C14-22 Alcohols, Polymethyl Methacrylate, Cetearyl Alcohol, Aloe Arborescens Leaf Extract, Dipotassium Glycyrrhizate, Tocopheryl Acetate, PEG-100 Stearate, Silica, C12-20 Alkyl Glucoside, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, Stearic Acid, Caprylyl Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Xanthan Gum, Triethanolamine, Sodium Hydroxide, Fragrance, Phenoxyethanol, Disodium EDTA",https://product-image-uploads.s3-ca-central-1.amazonaws.com//aloe_sun_1.png,https://reissue.co/product/cosrx-aloe-soothing-sun-cream-spf50-pa---
Drunk Elephant,C-Firma™ Day Serum,3.4,"Water/Aqua/Eau, Ethoxydiglycol, Ascorbic Acid, Glycerin, Laureth-23, Lactobacillus/Pumpkin Ferment Extract, Sclerocarya Birrea Seed Oil, Ferulic Acid, Sodium Hyaluronate, Chondrus Crispus Extract, Camellia Sinensis Leaf Extract, Lactobacillus/Punica Granatum Fruit Ferment Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Vitis Vinifera (Grape) Juice Extract, Phyllanthus Emblica Fruit Extract, Hydrolyzed Wheat Protein, Tocopherol, Caprylhydroxamic Acid, Acetyl Glucosamine, Hydrolyzed Quinoa, Glutamylamidoethyl Imidazole, Dipotassium Glycyrrhizate, Tetrahydrodiferuloylmethane, Tetrahydrodemethoxydiferuloylmethane, Tetrahydrobisdemethoxydiferuloylmethane, Sodium Hyaluronate Crosspolymer, Glycine, Sucrose, Maltodextrin, Propanediol, Caprylyl Glycol, Sodium Hydroxide, Xanthan gum, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Polysorbate 60",https://product-image-uploads.s3-ca-central-1.amazonaws.com//C-Firma-30-web_1024x1024.png,https://reissue.co/product/drunk-elephant-c-firma--day-serum
COSRX X Soko Glam,Triple C Lightning Liquid,3.0,"Aronia Melanocarpa Fruit Extract (Black Chokeberry), Ascorbic Acid (Vitamin C), Butylene Glycol, Sodium lactate, Licorice Root Extract, 1,2- Hexanediol, Pullulan, Sodium Hyaluronate, Cassia Obtusifolia Seed Extract, Allantoin",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Triple%20C%20Lightning%20Liquid%20COSRX.png,https://reissue.co/product/cosrx-x-soko-glam-triple-c-lightning-liquid
The Ordinary,Hyaluronic Acid 2% + B5,7,"Aqua (Water), Sodium Hyaluronate, Pentylene Glycol, Propanediol, Sodium Hyaluronate Crosspolymer, Panthenol, Ahnfeltia Concinna Extract, Glycerin, Trisodium Ethylenediamine Disuccinate, Citric Acid, Isoceteth-20, Ethoxydiglycol, Ethylhexylglycerin, Hexylene Glycol, 1,2-Hexanediol, Phenoxyethanol, Caprylyl Glycol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-hyaluronic-acid-2pct-b5-30ml.png,https://reissue.co/product/the-ordinary-hyaluronic-acid-2----b5
