Brand,Product Name,Ingredients,Image Link,URL Link
COSRX,Triple C Lightning Liquid,"Aronia Melanocarpa fruit extract (Black Chokeberry), Ascorbic acid (Vitamin C), Butylene glycol, Sodium lactate, Licorice root extract, 1,2- Hexanediol, Pullulan, Sodium hyaluronate, Cassia obtusifolia seed extract, Allantoin",https://cdn.shopify.com/s/files/1/0249/1218/products/COSRX-Triple-C-Lightning-Liquid-New-Packaging-2_1024x1024.jpg?v=1527084174,https://sokoglam.com/products/cosrx-triple-c-lightning-liquid
COSRX,Acne Pimple Master Patch,"Cellulose gum, Styrene Isoprene Styrene Block Copolymer, Polysobutylene, Petroleum Resin, Polyurethane Film, Liquid Paraffin, Tetrakis Methane",https://cdn.shopify.com/s/files/1/0249/1218/products/DSC06565_1024x1024.jpg?v=1519231003,https://sokoglam.com/products/cosrx-acne-pimple-master-patch
KLAIRS,Freshly Juiced Vitamin C Serum,"Water, Propylen Glycol, Ascorbic Acid , Hydroxyethylcellulose, Centella Asiatica Extract, Citrus Junos Fruit Extract , IlliciumVerum(Anise) Fruit Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Nelumbium Speciosum Flower Extract, Paeonia Suffruticosa Root Extract , Scutellaria Baicalensis Root Extract, Polysorbate60, Brassica OleraceaItalica (Broccoli) Extract, Chaenomeles Sinensis Fruit Extract, Orange Oil Brazil, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Disodium EDTA, Lavandula Angustifolia (Lavender) Oil , Camellia SinensisCallus Culture Extract, LarixEuropaeaWood Extract, Chrysanthellum Indicum Extract, Rheum Palmatum Root Extract, Asarum Sieboldi Root Extract, Quercus Mongolia Leaf Extract, PersicariaHydropiperExtract, Corydalis Turtschaninovii Root Extract, Coptis Chinensis Root Extract, Magnolia Obovata Bark Extract, Lysine HCL, Proline, Sodium Ascorbyl Phosphate, Acetyl Methionine, Theanine, Lecithin, Acetyl Glutamine, SH-Olgopeptide-1, SH-Olgopeptide-2, SH-Polypeptide-1, SH-Polypeptide-9, SH-Polypeptide-11, Bacillus/Soybean/Folic Acid Ferment Extract, Sodium Hyaluronate, CaprylylGlycol , Butylene Glycol, 1,2-Hexanediol.",https://cdn.shopify.com/s/files/1/0249/1218/products/Klairs-Freshly-Juiced-Vitamin-C-Serum_1024x1024.jpg?v=1496138105,https://sokoglam.com/products/klairs-freshly-juiced-vitamin-c
SON & PARK,Beauty Water,"Water, Rosa Damascena Flower Water, Hamamelis Virginiana (Witch Hazel) Water, Butylene Glycol,Propanediol, PEG-7 Caprylic/Capric Glycerides, Pentylene Glycol, Citrus Aurantium Dulcis (Orange) Fruit Extract, Xylitol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Olea Europaea (Olive) Fruit Oil,Citrus Aurantium Dulcis (Orange) Oil, Citrus Grandis (Grapefruit) Peel Oil, Lavandula Angustifolia (Lavender) Oil, Cedrus Atlantica Bark Oil, Pelargonium Graveolens Flower Oil, Carica Papaya (Papaya) Fruit Water, Jasminum Officinale (Jasmine) Oil, Illicium Verum (Anise) Fruit/Seed Oil, Artemisia Absinthium Extract, Rose Flower Oil, Ferula Galbaniflua (Galbanum) Resin Oil, Thuja Occidentalis Leaf Extract, Eucalyptus Globulus Leaf Extract, Lavandula Angustifolia (Laveder)Flower/Leaf/Stem Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Melissa Officinalis Leaf Extract, Mentha Piperita(Peppermint) Leaf Extract, Mentha Rotundifolia Leaf Extract, Mentha Spicata Flower/Leaf/Stem Extract, Origanum Majorana Leaf Extract, OriganumVulgare Leaf Extract, Pelargonium Graveolens Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Thymus Vulgaris (Thyme) Leaf Extract, Glycerin, Decyl Glucoside, 1,2-Hexanediol, PEG-40 Hydrogenated Castor Oil, PPG-26-Buteth-26, Sodium Chloride, Ethylhexylglycerin, Sodium Citrate, Citric Acid, Octanediol, Copaifera Officinalis (Balsam Copaiba) Resin, Protease, Alcohol Denat., Alcohol, Phenoxyethanol",https://cdn.shopify.com/s/files/1/0249/1218/products/Son-_-Park-Beauty-Water-1_1024x1024.jpg?v=1496137285,https://sokoglam.com/products/son-and-park-beauty-water
MAMONDE,Petal Spa Oil To Foam Cleanser,"WATER (AQUA) EAU, PROPANEDIOL, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, DIPROPYLENE GLYCOL, POTASSIUM COCOYL GLYCINATE, SODIUM METHYL COCOYL TAURATE, LAURYL HYDROXYSULTAINE, ACRYLATES COPOLYMER, SODIUM CHLORIDE, FRAGRANCE / PARFUM, POTASSIUM HYDROXIDE, DISODIUM EDTA, TETRASODIUM EDTA, CAMELLIA OLEIFERA SEED OIL, POLYGLYCERYL-2, TRIISOSTEARATE, ROSA DAMASCENA FLOWER OIL, LITHOSPERMUM ERYTHRORHIZON ROOT EXTRACT, SAPINDUS TRIFOLIATUS FRUIT EXTRACT",https://cdn.shopify.com/s/files/1/0249/1218/products/DSC01829_1024x1024.jpg?v=1531168048,https://sokoglam.com/products/mamonde-petal-spa-oil-to-foam-cleanser
COSRX,Advanced Snail 96 Mucin Power Essence,"Snail Secretion Filtrate, Betaine, Butylene Glycol, 1,2-Hexanediol, Sodium Hyaluronate, Panthenol, Arginine, Allantoin, Ethyl Hexanediol, Sodium Polyacrylate, Carbomer, Phenoxyethanol",https://cdn.shopify.com/s/files/1/0249/1218/products/COSRX_Advanced_Snail_96_Mucin_Power_Essence_Package_Update_PDP_1_1024x1024.jpg?v=1549062662,https://sokoglam.com/products/cosrx-advanced-snail-96-mucin-power-essence
MISSHA,Time Revolution First Treatment Essence Intensive Moist,"Saccharomyces Ferment Filtrate, Bifida Ferment Lysate, Water, Diethoxyethyl Succinate, Niacinamide, Hordeum Distichon (Barley) Extract, Phenoxyethanol, Dipropylene Glycol, Dimethicone, Glycerin, Polyquaternium-51, 1,2-Hexanediol, Adenosine, Lecithin, Potassium Sorbate, Cassia Alata Leaf Extract, Lactic Acid, Acetic Acid",https://cdn.shopify.com/s/files/1/0249/1218/products/Missha-Time-Revolution-The-First-Treatment-Essence-Intensive-Moist_grande_57a9ddeb-9f2c-4772-8955-1aa17cfaa135_1024x1024.jpg?v=1506963497,https://sokoglam.com/products/missha-time-revolution-first-treatment-essence-intensive-moist
ACWELL,Licorice pH Balancing Cleansing Toner,"Water, Glycyrrhiza Glabra (Licorice) Root Water, PEG-6 Caprylic/Capric Glycerides, PEG-7 Glyceryl Cocoate, Dipropylene Glycol, 1,2-Hexanediol, Poloxamer 184, Phenoxyethanol, Rheum Palmatum Root Extract, Psidium Guajava Leaf Extract, Rosa Hybrid Flower Extract, Camellia Sinensis Leaf Extract, Perilla Ocymoides Seed Extract, Poncirus Trifoliata Fruit Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Sodium Citrate, Disodium EDTA, Citric Acid, Tocopheryl Acetate, Glycyrrhiza Glabra (Licorice) Root Extract, Paeonia Albiflora Root Extract, Cimicifuga Dahurica Root Extract, Pueraria Lobata Root Extract",https://cdn.shopify.com/s/files/1/0249/1218/products/DSC09820_1024x1024.jpg?v=1508257587,https://sokoglam.com/products/acwell-licorice-ph-balancing-cleansing-toner
NEOGEN,Green Tea Real Fresh Foam Cleanser,"Camellia Sinensis Leaf Water, Camellia Sinensis Leaf, Saponaria Officinalis Leaf Extract , Potassium Cocoyl Glycinate, Glycerin, Methylglucamine, Lauric Acid, Sapindus Trifoliatus Fruit Extract, C12-14 Pareth-12, Myristic Acid, Propylene Glycol, Olive Oil PEG-7 Esters, Cocamidopropyl Betaine, Peg-60 Hydrogenated Castor Oil, Ethylhexylglycerin, Caprylyl Glycol, Tropolone, Citric Acid, Trehalose, Allantoin, Acetyl Glucosamine, Moringa Pterygosperma Seed Extract, Plankton Extract, Vaccinium Myrtillus Fruit/Leaf Extract, Saccharum Officinarum(Sugar Cane) Extract, Acer Saccharum(Sugar Maple) Extract, Citrus Aurantium Dulcis(Orange) Fruit Extract, Citrus Medica Limonum(Lemon) Fruit Extract, Sodium Hyaluronate, Carica Papaya(Papaya) Fruit Water, Gypsophila Paniculata Root Extract, Panthenol, Argania Spinosa Kernel Oil, Niacinamide, Achillea Millefolium Extract, Gentiana Lutea Root Extract, Portulaca Oleracea Extract, Hamamelis Virginiana(Witch Hazel) Extract, Anthemis Nobilis Flower Extract, Tricholoma Matsutake Extract, Cordyceps Sinensis Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Pisum Sativum (Pea) Extract, Glycine Soja (Soybean) Seed Extract, Vitis Vinifera (Grape) Fruit Extract, Saururus Chinensis Leaf/Root Extract , Arnica Montana Flower Extract , Artemisia Absinthium Extract , Broussonetia Kazinoki Bark Extract, Lactobacillus/Aspergillus/Prunus Mume Fruit Ferment Filtrate, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus/Soybean Ferment Extract, Lactobacillus/Nelumbo Nucifera Seed Ferment Filtrate, Aristotelia Chilensis Fruit Extract, Ribes Nigrum (Black Currant) Fruit Extract, Chrysanthemum Sibiricum Extract, Psidium Guajava Fruit Extract, Laminaria Japonica Extract, Caulerpa Lentillifera Extract, Hibiscus Esculentus Fruit Extract, Malva Sylvestris(Mallow) Extract, Malt Extract, Passiflora Edulis Fruit Extract, Averrhoa Carambola Fruit Extract, Chenopodium Quinoa Seed Extract, Dioscorea Japonica Root Extract, Forsythia Suspensa Fruit Extract, Laminaria Digitata Extract, Acorus Calamus Root Extract, Lithospermum Erythrorhizon Root Extract, Nelumbo Nucifera Flower Extract, Cucumis Sativus(Cucumber) Fruit Extract, Angelica Gigas Root Extract, Panax Ginseng Root Extract, Cornus Officinalis Fruit Extract, Schizandra Chinensis Fruit Extract, Asparagus Cochinchinensis Root Extract, Amber Extract, Pinus Densiflora Extract, Hydrolyzed Coral, Tremella Fuciformis(Mushroom) Extract, Sarcodon Aspratus Extract, Ledebouriella Seseloides Root Extract, Lepidium Meyenii Root Extract, Paeonia Lactiflora Root Extract, Citrus Junos Fruit Extract, Chaenomeles Sinensis Fruit Extract, Oryza Sativa(Rice) Bran Extract, Citrus Aurantium Dulcis(Orange) Flower Extract, Hippophae Rhamnoides Extract, Garcinia Mangostana Peel Extract, Magnolia Liliflora Flower Extract, Angelica Dahurica Root Extract, Angelica Archangelica Root Extract, Uncaria Tomentosa Extract, Lilium Tigrinum Extract, Laurus Nobilis Leaf Extract, Musa Sapientum(Banana) Fruit Extract, Cnidium Officinale Root Extract, Atractyloides Japonica Rhizome Extract, Salicornia Herbacea Extract, Mangifera Indica (Mango) Fruit Extract, Aloe Barbadensis Leaf Extract, Opuntia Ficus-Indica Extract, Swiftlet Nest Extract, Cocos Nucifera(Coconut) Fruit Extract, Honey Extract, Linum Usitatissimum(Linseed) Seed Extract, Agaricus Blazei Extract, Plumeria Rubra Flower Extract, Melissa Officinalis Leaf Extract, Cymbopogon Citratus Extract, Citrus Unshiu Peel Extract, Disodium EDTA, Carthamus Tinctorius (Safflower) Flower Extract, Gardenia Florida Fruit Extract, Fragrance.",https://cdn.shopify.com/s/files/1/0249/1218/products/Neogen-Real-Fresh-Foam-Cleanser-Green-Tea_1024x1024.jpg?v=1496137645,https://sokoglam.com/products/neogen-real-fresh-foaming-cleanser
BANILA CO,Clean It Zero Cleansing Balm Original,"Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, PEG-10 Isostearate, Synthetic Wax, Onsen-Sui, Phenoxyethanol, Butylene Glycol, Lithospermum Erythrorhizon Root Extract, Tocopheryl Acetate, Fragrance, Ethylhexylglycerin, Water, 1,2-Hexanediol, Bambusa Vulgaris Leaf/Stem Extract Aspalathus Linearis Extract, Angelica Archangelica Root Extract, Malpighia Glabra (Acerola) Fruit Extract, Polydiethyleneglycol Adipate/IPDI Copolymer, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/Methoxy PEG-15 Methacrylate Copolymer",https://cdn.shopify.com/s/files/1/0249/1218/products/Banila-Co-Clean-It-Zero-Original_1024x1024.jpg?v=1528829753,https://sokoglam.com/products/banila-co-clean-it-zero-classic
