Brand,Product Name,Ingredients,Product Image,
 collection,Kristin Ess Hair Signature Gloss Temporary Hair Color - Crystal Quartz,,https://target.scene7.com/is/image/Target/GUEST_1a73a314-aba3-4870-a65c-a188b1b6b596?wid=488&hei=488&fmt=webp,https://www.target.com/p/kristin-ess-hair-signature-gloss-temporary-hair-color-crystal-quartz/-/A-75564250
 collection,Kristin Ess Temporary Tint for Pre-Lightened and Highlighted Blonde Hair - 7oz,,https://target.scene7.com/is/image/Target/GUEST_5b98ac28-156d-447d-8479-f3ec14ccd438?wid=488&hei=488&fmt=webp,https://www.target.com/p/kristin-ess-temporary-tint-for-pre-lightened-and-highlighted-blonde-hair-7oz/-/A-75565165
Herbal Essences,Herbal Essences Hello Hydration Shampoo - 33.8 fl oz,"Inactive ingredients: swater/eau, sodium lauryl sulfate, sodium laureth sulfate, cocamidopropyl betaine, glycol distearate, zea mays(corn) silk extract, orchis mascula flower extract, cocos nucifera (coconut) fruit extract, sodium citrate, cocamide mea, sodium xylenesulfonate, fragrance/parfum, dimethicone, citric acid, sodium chloride, tetrasodium edta, methylchloroisothiazolinone, methylisothiazolinone, blue 1.",https://target.scene7.com/is/image/Target/GUEST_5a47adfc-68f9-4995-be4f-b33de5adef99?wid=488&hei=488&fmt=webp,https://www.target.com/p/herbal-essences-hello-hydration-shampoo-33-8-fl-oz/-/A-46764138?preselect=13970952#lnk=sametab
 collection,Kristin Ess Wide Tooth Detangling Hair Comb,,https://target.scene7.com/is/image/Target/GUEST_2ad12706-9a7f-4b02-aa77-df777ba575b3?wid=488&hei=488&fmt=webp,https://www.target.com/p/kristin-ess-wide-tooth-detangling-hair-comb/-/A-75568819
 collection,Kristin Ess Do-It-All Sectioning Clips - 4ct,,https://target.scene7.com/is/image/Target/GUEST_6e58f577-8d86-4c8b-8aba-848a9adef1e5?wid=488&hei=488&fmt=webp,https://www.target.com/p/kristin-ess-do-it-all-sectioning-clips-4ct/-/A-75568818
Puracy,Puracy Citrus & Mint Silicone-Free Natural Hair Conditioner - 16 fl oz,"Inactive ingredients: spurified water, cetearyl alcohol (plant-based moisturizer), behentrimonium chloride (plant-based detangler), glyceryl monostearate (plant-based softener), guar hydroxypropyltrimonium chloride (plant-based detangler), coco glucoside (coconut-based cleanser), glyceryl oleate (plant-based softener), panthenyl hydroxypropyl steardimonium chloride (vitamin b5 natural hair conditioner), helianthus annuus (sunflower) oil, butyrospermum parkii (shea butter), dl-panthenol (pro-vitamin b5), squalene (olive-based hair conditioner), tocopherol (vitamin e), hedera helix (ivy) extract, quillaja saponaria (soapbark) extract, juglans nigra (black walnut leaf) leaf extract, panax ginseng (ginseng) root extract, aloe barbadensis (aloe vera) leaf juice, bergamot essential oil, eucalyptus essential oil, peppermint essential oil, gluconolactone (natural preservative), sodium benzoate (food-grade preservative)",https://target.scene7.com/is/image/Target/GUEST_efca1859-c3ec-4044-88a9-2765fa663ae9?wid=488&hei=488&fmt=webp,https://www.target.com/p/puracy-citrus-mint-silicone-free-natural-hair-conditioner-16-fl-oz/-/A-75570316
Puracy,Puracy Citrus & Mint Sulfate-Free Natural Daily Shampoo - 16 fl oz,"Inactive ingredients: spurified water, sodium lauroamphoacetate (coconut-based cleanser), cocamidopropyl hydroxysultaine (coconut-based cleanser), sodium methyl cocoyl taurate (coconut-based cleanser), lauryl/myristyl glucoside (coconut oil-based cleanser), betaine (beet sugar) extract, coco glycinate (coconut-based cleanser), vegetable glycerin (plant-based skin softener), glyceryl oleate (plant-derived skin softener), coco-glucoside (coconut-based cleanser), tetrasodium iminodisuccinate (plant-derived water softener), citric acid (plant-based preservative), coco-caprylate (coconut-based cleanser), squalene (olive oil-based hair conditioner), hedera helix (ivy) extract, quillaja saponaria (soapbark) extract, juglans nigra (black walnut leaf) leaf extract, chamomilla recutita (matricaria) extract, panax ginseng (ginseng) root extract, aloe barbadensis (aloe vera) leaf juice, tocopherol (vitamin e), potassium sorbate (natural preservative), himalayan pink sea salt, bergamot essential oil, eucalyptus essential oil, peppermint essential oil, gluconolactone (natural preservative), sodium benzoate (food-grade preservative)",https://target.scene7.com/is/image/Target/GUEST_f451afdc-e162-4fa0-8324-1883cd51b4c6?wid=488&hei=488&fmt=webp,https://www.target.com/p/puracy-citrus-mint-sulfate-free-natural-daily-shampoo-16-fl-oz/-/A-75570375
,,,https://target.scene7.com/is/image/Target/GUEST_3c2180dc-47c4-45cf-8d77-dbdb84eb0aba?fmt=webp,https://www.target.com/p/nexxus-keraphix-healing-collection-for-severely-damaged-hair/-/A-54312624
SheaMoisture,SheaMoisture African Black Soap Bamboo Charcoal Scalp Tonic Treatment - 2 fl oz,,https://target.scene7.com/is/image/Target/GUEST_86c2e995-c8e6-464f-adc9-154794b20866?wid=488&hei=488&fmt=webp,https://www.target.com/p/sheamoisture-african-black-soap-bamboo-charcoal-scalp-tonic-treatment-2-fl-oz/-/A-75563828
SheaMoisture,SheaMoisture Manuka Honey & Yogurt Hydrate + Repair Protein Shampoo - 10.3 fl oz,"Inactive ingredients: swater, sodium lauroyl methyl isethionate, cocoamidopropyl betaine, sodium methyl cocoyl taurate, sodium cocoyl isethionate, glycol distearate, glycerin (vegetable), butyrospermum parkii (shea) butter*♥, honey, yogurt powder, yogurt extract, inulin, adansonia digitata (baobab) seed oil, trichilia emetica (mafura) seed oil, cocos nucifera (coconut) oil, panthenol, guar hydroxypropyltrimonium chloride, triethyl citrate, caprylyl glycol, benzoic acid, mica, titanium dioxide, sodium benzoate, fragrance (essential oil blend)",https://target.scene7.com/is/image/Target/GUEST_072aea6d-2c19-4d0b-8adc-6277f83ef897?wid=488&hei=488&fmt=webp,https://www.target.com/p/sheamoisture-manuka-honey-yogurt-hydrate-repair-protein-shampoo-10-3-fl-oz/-/A-75565791
