Brand,Product,Ingredients,Item Link
IT COSMETICS,Confidence in a Cream Moisturizing Super Cream,"['Water/Aqua/Eau', ' Butylene Glycol', ' Cyclopentasiloxane', ' Glycerin', ' Butylene Glycol Dicaprylate / Dicaprate', ' Ethylhexyl Isononanoate', ' Hydrogenated Polyisobutene', ' Caprylic / Capric / Myristic / Stearic Triglyceride', ' Glyceryl Stearate', ' PEG - 100 Stearate', ' Polyglyceryl - 3 Methylglucose Distearate', ' Stearyl Behenate', ' Dimethicone', ' Pentaerythrityl Tetraethylhexanoate', ' Biosaccharide Gum - 1', ' Dimethicone / Vinyl Dimethicone Crosspolymer', ' Cetearyl Alcohol', ' Palmitic Acid', ' Stearic Acid', ' Polyethylene', ' PEG / PPG - 20 / 15 Dimethicone', ' Phenyl Methicone', ' Portulaca Oleracea Extract', ' Cocos Nucifera (Coconut) Oil', ' Aloe Barbadensis Leaf Extract', ' Butyrospermum Parkii (Shea) Butter', ' Hydroxyethyl Acrylate / Sodium Acryloyldimethyl Taurate Copolymer', ' Sodium Hyaluronate', ' Hydrogenated Lecithin', ' Polyquaternium - 51', ' Niacinamide', ' Hydrolyzed Collagen', ' Camellia Sinensis Leaf Extract', ' Tocopheryl Acetate', ' Carbomer', ' PEG - 150 Distearate', ' Ceramide Ap', ' Glycosphingolipids', ' Glyceryl Polymethacrylate', ' Meadowfoam Estolide', ' Sorbitan Isostearate', ' Squalane', ' Palmitoyl Pentapeptide - 4', ' Polysorbate 20', ' Steareth - 20', ' N - Hydroxysuccinimide', ' Chrysin', ' Palmitoyl Tripeptide - 1', ' Palmitoyl Tetrapeptide - 7', ' Polysorbate 60', ' Aleuritic Acid', ' Yeast Extract', ' Glycoproteins', ' Betaine', ' Hydrogenated Polydecene', ' Ceramide NP', ' Allantoin', ' Colloidal Oatmeal', ' Retinyl Retinoate', ' Polylactic Acid', ' Canola Oil', ' Cholesteryl Nonanoate', ' Ascorbyl Tetraisopalmitate', ' Glycyrrhiza Glabra (Licorice) Root Extract', ' Chamomilla Recutita (Matricaria) Flower Water', ' Curcuma Longa (Turmeric) Root Extract', ' Leuconostoc/Radish Root Ferment Filtrate', ' Eruca Sativa Leaf Extract', ' Glyceryl Citrate / Lactate/Linoleate / Oleate', ' Ceteareth - 20', ' Hydroxypropyl Bispalmitamide Mea', ' Glycine Soja (Soybean) Sterols', ' Melaleuca Alternifolia (Tea Tree) Leaf Oil', '  Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate', ' Santalum Album (Sandalwood) Oil', ' Chamomilla Recutita (Matricaria) Flower Oil', ' Caprylhydroxamic Acid', ' Cetearyl Glucoside', ' Glucose', ' Stearyl Stearate', ' Tromethamine', ' Citric Acid', ' 1', ' 2 - Hexanediol', ' Chlorhexidine Digluconate', ' Potassium Sorbate', ' Dipropylene Glycol', ' Lavandula Angustifolia (Lavender) Oil', ' Citrus Paradisi (Grapefruit) Peel Oil', ' Cymbopogon Citratus Leaf Oil', ' Pelargonium Graveolens Oil', ' Citrus Aurantium Dulcis (Orange) Peel Oil', ' Pogostemon Cablin Oil', ' Citrus Aurantium Bergamia (Bergamot) Fruit Oil', ' Ethylhexylglycerin', ' Caramel', ' Disodium EDTA', ' Phenoxyethanol', ' Caprylyl Glycol', ' Limonene', ' Linalool']",https://www.ulta.com/confidence-in-a-cream-moisturizing-super-cream?productId=xlsImpprod13641053
CLINIQUE,Moisture Surge 72 Hour Auto-Replenishing Hydrator,"['Water\\Aqua\\Eau', ' Dimethicone', ' Butylene Glycol', ' Glycerin', ' Trisiloxane', ' Trehalose', ' Sucrose', ' Ammonium Acryloyldimethyltaurate/Vp Copolymer', ' Hydroxyethyl Urea', ' Camellia Sinensis (Green Tea) Leaf Extract', "" Silybum Marianum (Lady'S Thistle) Extract"", ' Betula Alba (Birch) Bark Extract', ' Saccharomyces Lysate Extract', ' Aloe Barbadensis Leaf Water', ' Thermus Thermophillus Ferment', ' Caffeine', ' Sorbitol', ' Palmitoyl Hexapeptide-12', ' Sodium Hyaluronate', ' Caprylyl Glycol', ' Oleth-10', ' Sodium Polyaspartate', ' Saccharide Isomerate', ' Hydrogenated Lecithin', ' Tocopheryl Acetate', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Glyceryl Polymethacrylate', ' Tromethamine', ' PEG-8', ' Hexylene Glycol', ' Magnesium Ascorbyl Phosphate', ' Disodium EDTA', ' BHT', ' Phenoxyethanol', ' Red 4 (CI 14700)', ' Yellow 5 (CI 19140)']",https://www.ulta.com/moisture-surge-72-hour-auto-replenishing-hydrator?productId=xlsImpprod17391255
PHILOSOPHY,Renewed Hope In A Jar,"['Aqua/Water/Eau', ' Cyclopentasiloxane', ' Stearic Acid', ' Glycerin', ' Butylene Glycol', ' C12-15 Alkyl Benzoate', ' Glycolic Acid', ' Dimethicone', ' Polyacrylamide', ' Cetearyl Alcohol', ' Phenoxyethanol', ' Sodium Hydroxide', ' C13-14 Isoparaffin', ' Dimethicone Crosspolymer', ' Ceteareth-20', ' Ammonium Acryloyldimethyltaurate/Vp Copolymer', ' Polysilicone-11', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Laureth-7', ' Citric Acid', ' Chlorphenesin', ' Mandelic Acid', ' Tocopheryl Acetate', ' Synthetic Fluorphlogopite', ' Ethlhexyl Palmitate', ' Propanediol', ' Parfum/Fragrance', ' Disodium EDTA', ' Adenosine', ' Evodia Rutaecarpa Fruit Extract', ' Limonene', ' Faex/Yeast Extract/Extrait De Levure', ' Magnesium Stearate', ' Opuntia Coccinellifera Flower Extract', ' Silica Dimethyl Silylate', ' Caprylyl Glycol', ' BHT', ' Ethylhexylglycerin', ' Hyaluronic Acid', ' Silanetriol', ' Sodium Hyaluronate', ' Sorbic Acid', ' Hexylene Glycol', ' Bismuth Oxychloride (CI 77163)']",https://www.ulta.com/renewed-hope-in-a-jar?productId=xlsImpprod11751089
ESTÉE LAUDER,DayWear Multi-Protection Anti-Oxidant 24H-Moisture Crème Broad Spectrum SPF 15,"['Active: Avobenzone 3.00%', ' Octisalate 5.00%. Inactive: Water\\Aqua\\Eau', ' Dimethicone', ' Butyloctyl Salicylate', ' Butylene Glycol', ' Polyester-8', ' Cetyl Ricinoleate', ' Steareth-21', ' Steareth-2', ' Di-C12-15 Alkyl Fumarate', ' Caprylic/Capric/Myristic/Stearic Triglyceride', ' Polysilicone-11', ' Psidium Guajava (Guava) Fruit Extract', ' Gentiana Lutea (Gentian) Root Extract', ' Polygonum Cuspidatum Root Extract', ' Stearyl Alcohol', "" Hordeum Vulgare (Barley) Extract\\Extrait D'orge"", ' Laminaria Ochroleuca Extract', ' Rosmarinus Officinalis (Rosemary) Leaf Extract', ' Triticum Vulgare (Wheat) Germ Extract', ' Artemia Extract', ' Fumaria Officinalis Flower/Leaf/Stem Extract', ' Caffeine', ' Pentylene Glycol', ' Citrus Medica Limonum (Lemon) Fruit Extract', ' Hydrolyzed Rice Extract', ' Vitis Vinifera (Grape) Seed Extract', ' Hydrolyzed Rice Bran Extract', ' Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone', ' Thermus Thermophillus Ferment', ' Behenyl Alcohol', ' Acrylic Acid/VP Crosspolymer', ' Triacontanyl PVP', ' Glycerin', ' C12-15 Alkyl Benzoate', ' Linoleic Acid', ' Cholesterol', ' Squalane', ' Sodium PCA', ' 1', '2-Hexanediol', ' Urea', ' Caprylic/Capric Triglyceride', ' Dipropylene Glycol Dibenzoate', ' Tocopheryl Acetate', ' Acrylamide/Sodium Acryloyldimethyltaurate Copolymer', ' Tetrahexyldecyl Ascorbate', ' Sodium Hyaluronate', ' Ergothioneine', ' Isohexadecane', ' PPG-15 Stearyl Ether Benzoate', ' Glycyrrhetinic Acid', ' Trehalose', ' Polyquaternium-51', ' Polysorbate 80', ' Lecithin', ' Hydrogenated Lecithin', ' Fumaric Acid', ' Palmitoyl Hydroxypropyltrimonium Amylopectin/Glycerin Crosspolymer', ' Caprylyl Glycol', ' Cyclodextrin', ' Sodium Hydroxide', ' Nordihydroguaiaretic Acid', ' Sodium Chloride', ' Ascorbyl Tocopheryl Maleate', ' Fragrance (Parfum)', ' Citric Acid', ' Ethylbisiminomethylguaiacol Manganese Chloride', ' Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate', ' Disodium EDTA', ' BHT', ' Sodium Dehydroacetate', ' Phenoxyethanol', ' Blue 1 (CI 42090)', ' Yellow 5 (CI 19140)', ' Chromium Hydroxide Green (CI 77289)']",https://www.ulta.com/daywear-multi-protection-anti-oxidant-24h-moisture-creme-broad-spectrum-spf-15?productId=xlsImpprod14641487
MURAD,Age Reform Hydro-Dynamic Ultimate Moisture,"['Water (Aqua)', ' C12-15 Alkyl Benzoate', ' Caprylic/Capric Triglyceride', ' Glycerin', ' Helianthus Annuus (Sunflower) Seed Oil', ' Butylene Glycol', ' Glyceryl Stearate', ' Glyceryl Behenate/Eicosadioate', ' Dicaprylyl Carbonate', ' Butyrospermum Parkii (Shea Butter)', ' Cetearyl Alcohol', ' Myristyl Myristate', ' Cetyl Alcohol', ' Ethoxydiglycol', ' Phenyl Trimethicone', ' Stearic Acid', ' Avena Sativa (Oat) Kernel Extract', ' Yeast Extract (Faex)', ' Algae Extract', ' Glycine Soja (Soybean) Sterols', ' Zea Mays (Corn) Starch', ' Olea Europaea (Olive) Fruit Oil', ' Persea Gratissima (Avocado) Oil', ' Sodium Hyaluronate', ' Dipotassium Glycyrrhizate', ' Tetrahexyldecyl Ascorbate', ' Tocopheryl Acetate', ' Linoleic Acid', ' Phospholipids', ' Polysorbate 60', ' Acrylamide/Sodium Acryloyldimethyltaurate Copolymer', ' Isohexadecane', ' Glyceryl Polymethacrylate', ' Panthenol', ' Jojoba Alcohol', ' Potassium Jojobate', ' Polysorbate 80', ' Urea', ' Glucosamine HCl', ' PEG-8', ' Bisabolol', ' Sorbitan Oleate', ' Cetearyl Methicone', ' Dimethicone', ' Palmitoyl Oligopeptide', ' Retinyl Palmitate', ' Allantoin', ' Xanthan Gum', ' Disodium EDTA', ' BHT', ' Ethylhexylglycerin', ' Chlorphenesin', ' Phenoxyethanol']",https://www.ulta.com/age-reform-hydro-dynamic-ultimate-moisture?productId=xlsImpprod2390225
IT COSMETICS,Bye Bye Foundation Full Coverage Moisturizer with SPF 50+,"['Active: Titanium Dioxide 9.0%', ' Zinc Oxide 6.3%. Inactive: Aqua/Water/Eau', ' Snail Secretion Filtrate', ' Phenyl Trimethicone', ' Dimethicone', ' Butylene Glycol', ' Butylene Glycol Dicaprylate/Dicaprate', ' Orbignya Oleifera Seed Oil', ' Butyloctyl Salicylate', ' Cetyl PEG/PPG-10/1 Dimethicone', ' Cyclopentasiloxane', ' Cyclohexasiloxane', ' Magnesium Sulfate', ' Polyglyceryl-4 Isostearate', ' Dimethicone/Vinyl Dimethicone Crosspolymer', ' Aluminum Hydroxide', ' Hexyl Laurate', ' Stearic Acid', ' Calcium Stearate', ' Caprylyl Glycol', ' Triethoxycaprylylsilane', ' Ethylhexylglycerin', ' Citrus Limon (Lemon) Peel Oil', ' Tocopheryl Acetate', ' Sorbitan Isostearate', ' Phenoxyethanol', ' Citrus Aurantium Bergamia (Bergamot) Fruit Oil', ' 1', '2-Hexanediol', ' Disodium Edta', ' Citrus Aurantium Dulcis (Orange) Peel Oil', ' Citrus Aurantifolia (Lime) Oil', ' Niacinamide', ' Hydrolyzed Hyaluronic Acid', ' Lactobacillus/Kelp Ferment Filtrate', ' Saccharomyces/Rice Ferment Filtrate', ' Hydrolyzed Silk', ' Aloe Barbadensis Leaf Extract', ' Cholesteryl Nonanoate', ' Cholesteryl Isostearate', ' Cholesteryl Chloride', ' Punica Granatum Seed Oil', ' Lactobacillus/Pumpkin Ferment Extract', ' Cholesterol', ' Vitis Vinifera (Grape) Seed Oil', ' Cholesteryl Oleyl Carbonate', ' Persea Gratissima (Avocado) Oil', ' Pinus Sylvestris Leaf Oil', ' Polymethylsilsesquioxane', ' Anthemis Nobilis Flower Water', ' Lactobacillus/Dipteryx Odorata Seed Ferment Filtrate', ' Panax Ginseng Root Extract', ' Avena Sativa (Oat) Kernel Extract', ' Cocos Nucifera (Coconut) Fruit Extract', ' Saccharum Officinarum (Sugar Cane) Extract', ' Hydrolyzed Collagen', ' Caprylhydroxamic Acid', ' Tocopherol', ' Thiamine HCl', ' Riboflavin', ' Retinyl Palmitate', ' Pantothenic Acid', ' Niacin', ' Folic Acid', ' Carnitine HCl', ' Biotin', ' Ascorbic Acid', ' Bacillus/Cordyceps Sinensis/Ganoderma Lucidum/Inonotus Obliquus/Lentinus Edodes/Phellinus Linteus/Schizophyllum Commune/Tricholoma Matsutake Extract Ferment Filtrate', ' Phaseolus Angularis Seed Extract', ' Lactobacillus/Rice Ferment Filtrate', ' Saccharomyces/Camellia Sinensis Extract Ferment Filtrate', ' Lactobacillus Ferment', ' Lactobacillus/Centella Asiatica/Gleditsia Sinensis Thorn/Houttuynia Cordata Extract/Phellodendron Amurense Bark/Polygonum Cuspidatum Root/Prunella Vulgaris/Torilis Japonica Extract Ferment Filtrate', ' Eucalyptus Globulus Leaf Oil', ' Curcuma Longa (Turmeric) Root Extract', ' Magnolia Kobus Bark Extract', ' Lactobacillus/Honeysuckle Flower/Licorice Root/Morus Alba Root/Pueraria Lobata Root/Schizandra Chinensis Fruit/Scutellaria Baicalensis Root/Sophora Japonica Flower Extract Ferment Filtrate', ' Glycine Soja (Soybean) Sprout Extract', ' Perfluorohexane', ' Glycerin', ' Leuconostoc/Radish Root Ferment Filtrate', ' Camellia Sinensis Leaf Extract', ' Silk Extract', ' Perfluorodecalin', ' Olea Europaea (Olive) Leaf Extract', ' Chrysanthemum Indicum Flower Extract', ' Diamond Powder', ' Morus Alba Fruit Extract', ' Pueraria Lobata Root Extract', ' Cinnamomum Cassia Bark Extract', ' Artemisia Princeps Leaf Extract', ' Diospyros Kaki Leaf Extract', ' N-Hydroxysuccinimide', ' Palmitoyl Oligopeptide', ' Chrysin', ' Palmitoyl Tetrapeptide-7', ' Pentafluoropropane', ' Steareth-20', ' Citric Acid', ' Sodium Benzoate', ' Potassium Sorbate', ' Chlorhexidine Digluconate. May Contain: Iron Oxides (CI 77492', ' CI 77491', ' CI 77499)']",https://www.ulta.com/bye-bye-foundation-full-coverage-moisturizer-with-spf-50?productId=xlsImpprod17611001
DERMADOCTOR,Kakadu C High Potency Evening Oil,"['Caprylic/Capric Triglyceride', ' Tetrahexyldecyl Ascorbate', ' Tocopheryl Acetate', ' Camellia Sinensis Leaf Extract', ' Ethyl Ferulate', ' Superoxide Dismutase', ' Glycerin', ' Malpighia Punicifolia (Acerola) Fruit Extract', ' Phyllanthus Emblica (Indian Gooseberry) Fruit Extract', ' Rosa Roxburghii (Chestnut Rose) Fruit Extract', ' Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract', ' Passiflora Incarnata (Passionflower) Seed Oil', ' Passiflora Edulis (Maracuja) Seed Oil', ' Sclerocarya Birrea (Marula) Seed Oil', ' Vitis Vinifera (Grape) Seed Oil', ' PEG-40 Hydrogenated Castor Oil', ' Oryza Sativa (Rice) Bran Oil', ' Helianthus Annuus (Sunflower) Seed Oil', ' Ethoxydiglycol']",https://www.ulta.com/kakadu-c-high-potency-evening-oil?productId=xlsImpprod17491103
KOPARI BEAUTY,Save Face Oil,"['Coco-Caprylate/Caprate', ' Cocos Nucifera (Coconut) Oil*', ' Coconut Alkanes', ' Shea Butter Ethyl Esters', ' Squalane', ' Persea Gratissima (Avocado) Oil*', ' Caprylic/Capric Triglyceride', ' Tocopherol', ' Pyrus Malus (Apple) Fruit Extract', ' Coffea Arabica (Coffee) Leaf/Seed Extract', ' Butter Extract', ' Santalum Album (Sandalwood) Extract', ' Musa Sapientum (Banana) Fruit Extract', ' Vaccinium Macrocarpon (Cranberry) Fruit Extract', ' Cucumis Melo Cantalupensis (Melon) Fruit Extract', ' Vanilla Planifolia Fruit Extract', ' Prunus Armeniaca (Apricot) Fruit Extract', ' Cocos Nucifera (Coconut) Fruit Extract', ' Butyrospermum Parkii (Shea) Butter Extract']",https://www.ulta.com/save-face-oil?productId=xlsImpprod17771105
MARIO BADESCU,"Facial Spray With Aloe, Herbs and Rosewater","['Water/Aqua/Eau', ' Propylene Glycol', ' Aloe Barbadensis Leaf Juice', ' Rosa Canina Extract', ' Thymus Vulgaris (Thyme) Leaf Extract', ' Fucus Vesiculosus Extract', ' Gardenia Florida Fruit Extract', ' Caprylyl Glycol', ' Hexylene Glycol', ' Polysorbate 20', ' Parfum (Fragrance)', ' Phenoxyethanol', ' Sodium Chloride', ' Citronellol', ' Geraniol', ' CI 17200 (Red 33)', ' CI 42090 (Blue 1)']",https://www.ulta.com/facial-spray-with-aloe-herbs-rosewater?productId=xlsImpprod6200727
SKYN ICELAND,Pure Cloud Cream,"['Water/Aqua/Eau', ' Hydrogenated Didecene', ' Butylene Glycol', ' Bisabolol', ' Prunus Amygdalus Dulcis (Sweet Almond) Oil', ' Leuconostoc/Radish Root Ferment Filtrate', ' Canola Oil', ' Hydrolyzed Rice Protein', ' Sodium Hyaluronate', ' Camellia Oleifera Leaf Extract', ' Avena Sativa (Oat) Kernel Extract', ' Aloe Barbadensis Leaf Juice', ' Rubus Chamaemorus (Arctic Cloudberry) Seed Oil', ' Oxycoccus Palustris (Arctic Cranberry) Seed Oil', ' Thymus Vulgaris (Thyme) Flower/Leaf Extract', ' Angelica Archangelica Root Water*', ' Simmondsia Chinensis (Jojoba) Seed Oil', ' Buddleja Davidii Extract', ' Citrus Grandis (Grapefruit) Peel Oil', ' Ascorbyl Palmitate', ' Retinol', ' Tocopherol', ' Triceteareth-4 Phosphate', ' Sodium Polyacrylate', ' Glyceryl Stearate', ' PEG-100 Stearate', ' Biotin', ' Glycerin', ' Zea Mays (Corn) Starch', ' Lauryl Glucoside', ' Polyglyceryl-2-Dipolyhydroxystearate', ' Ethylhexyl Stearate', ' Laureth-3', ' Silica', ' Hydroxyethylcellulose', ' Trideceth-6', ' Acetyl Dipeptide-1 Cetyl Ester', ' Alcohol', ' Perfluorodecalin', ' Sucrose Palmitate', ' Ceramide NP', ' Stearic Acid', ' Sorbitan Stearate', ' Sodium Benzoate', ' Caprylyl Glycol', ' Potassium Phosphate', ' Lecithin+', ' Pentylene Glycol', ' Xanthan Gum', ' Potassium Sorbate', ' Polysorbate 20', ' Sodium Hydroxide', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Cetyl Alcohol', ' Cetyl Ricinoleate', ' Ethylhexyl Methoxycinnamate', ' Phenoxyethanol']",https://www.ulta.com/pure-cloud-cream?productId=xlsImpprod5830038
