Name,Cuisine,Budget,Neighborhood,Street Address,Menu/Special,Notes,Yelp Link
Artichoke Basille’s Pizza,Pizza,$,,,,,https://www.yelp.com/biz/artichoke-basilles-pizza-new-york-2?osq=Artichoke+Basille%C3%95s+Pizza
Emmett’s,"American (Traditional), Pizza, Sandwiches",$$,,,,,https://www.yelp.com/biz/emmetts-new-york-2?osq=Emmett%27s
Joe’s Pizza,Pizza,$,,,,,https://www.yelp.com/biz/joes-pizza-new-york-4?osq=Joe%27s
John’s of Bleecker Street,Pizza,$$,,,,,https://www.yelp.com/biz/johns-of-bleecker-street-new-york-2?osq=John%27s
Kesté Pizza & Vino,"Pizza, Gluten-Free, Italian",$$,,,,,https://www.yelp.com/biz/kest%C3%A9-pizza-and-vino-new-york-2?osq=Kest%C2%8E+Pizza
Lions & Tigers & Squares Detroit Pizza,Pizza,$,,,,,https://www.yelp.com/biz/lions-and-tigers-and-squares-detroit-pizza-new-york?osq=Lions+and+Tigers+and+Squares
Patsy’s Pizzeria,"Pizza, Italian",$$,,,,,https://www.yelp.com/biz/patsys-pizzeria-new-york-7?osq=Patsy%27s+Pizza
Prince Street Pizza,"Pizza, Italian",$,,,,,https://www.yelp.com/biz/prince-street-pizza-new-york-2?osq=Prince+Street+Pizza
Rubirosa,"Italian, Pizza",$$,,,,,https://www.yelp.com/biz/rubirosa-new-york-2?osq=Rubirosa
Scarr’s Pizza,Pizza,$,,,,,https://www.yelp.com/biz/scarrs-pizza-new-york?osq=Scarr%27s
Koronet Pizza,Pizza,$,,,,,https://www.yelp.com/biz/koronet-pizza-new-york-3?osq=Koronet+Pizza
Lombardi’s Pizza,Pizza,$$,,,,,https://www.yelp.com/biz/lombardis-pizza-new-york?osq=Lombardi%27s
Ivan Ramen,Ramen,$$,,,,,https://www.yelp.com/biz/ivan-ramen-new-york?osq=Ivan+Ramen
Laut,"Thai, Malaysian, Singaporean",$$,,,,,https://www.yelp.com/biz/laut-new-york?osq=Laut
The Boil,"Cajun/Creole, Seafood, Live/Raw Food",$$,,,,,https://www.yelp.com/biz/the-boil-new-york-3?osq=The+Boil
Dominique Ansel Bakery,"Bakeries, Desserts",$$,,,,,https://www.yelp.com/biz/dominique-ansel-bakery-new-york?osq=Dominique+Ansel+Bakery
Max Brenner - New York,"Chocolatiers & Shops, Desserts, Breakfast & Brunch",$$,,,,,https://www.yelp.com/biz/max-brenner-new-york-new-york-2?osq=Max+Brenner+-+New+York
Cocoron,"Japanese, Noodles, Soup",$$,,,,,https://www.yelp.com/biz/cocoron-new-york-2?osq=Cocoron
Istanbul Kebab House,"Turkish, Halal, Mediterranean",$$,,,,,https://www.yelp.com/biz/istanbul-kebab-house-new-york?osq=Istanbul+Kebab+House
Vanessa’s Dumpling House,Chinese,$,,,,,https://www.yelp.com/biz/vanessas-dumpling-house-new-york-2?osq=Vanessa%27s+Dumplings
Taqueria Diana,Mexican,$,,,,,https://www.yelp.com/biz/taqueria-diana-new-york?osq=Taqueria+Diana
Xi’an Famous Foods,"Chinese, Burgers, Noodles",$,,,,,https://www.yelp.com/biz/xian-famous-foods-new-york-21?osq=Xi%27an+Famous+Foods
Raclette,"Sandwiches, French",$$,,,,,https://www.yelp.com/biz/raclette-new-york?osq=Raclette+NYC
Los Mariscos,"Seafood, Tacos",$,,,,,https://www.yelp.com/biz/los-mariscos-new-york?osq=Los+Mariscos%2C+Los+Tacos
Osteria Morini Manhattan,"Italian, Cocktail Bars, Wine Bars",$$$,,,,,https://www.yelp.com/biz/osteria-morini-manhattan-new-york-2?osq=Osteria+Morini
Ess-a-Bagel,"Bakeries, Bagels, Delis",$,,,,,https://www.yelp.com/biz/ess-a-bagel-new-york?osq=Ess-a-Bagel
Cheeky Sandwiches,"Sandwiches, Desserts",$,,,,,https://www.yelp.com/biz/cheeky-sandwiches-new-york?osq=Cheeky+Sandwiches
Junior’s Restaurant & Bakery - 45th St.,"Bakeries, Breakfast & Brunch, Burgers",$$,,,,,https://www.yelp.com/biz/juniors-restaurant-and-bakery-45th-st-new-york?osq=Junior%C3%95s+Restaurant+%26+Bakery
Trattoria Trecolori,Italian,$$,,,,,https://www.yelp.com/biz/trattoria-trecolori-new-york?osq=Trattoria+Trecolori
Upstate,"Seafood, Wine Bars, Beer Bar",$$,,,,,https://www.yelp.com/biz/upstate-new-york-2?osq=Upstate
Grimaldi’s,Pizza,$$,,,,,https://www.yelp.com/biz/grimaldis-brooklyn-4?osq=Grimaldi%27s
L & B Spumoni Gardens,"Pizza, Italian",$,,,,,https://www.yelp.com/biz/l-and-b-spumoni-gardens-brooklyn?osq=L+%26+B+Spumoni+Gardens
Di Fara Pizza,Pizza,$$,,,,,https://www.yelp.com/biz/di-fara-pizza-brooklyn?osq=Di+Fara
Roberta’s,"Pizza, Italian",$$,,,,,https://www.yelp.com/biz/robertas-brooklyn-2?osq=Roberta%27s
Juliana’s Pizza,Pizza,$$,,,,,https://www.yelp.com/biz/julianas-pizza-brooklyn-5?osq=Juliana%27s
Lucali,Pizza,$$,,,,,https://www.yelp.com/biz/lucali-brooklyn-3?osq=Lucali
Paulie Gee’s,"Pizza, Vegan, Italian",$$,,,,,https://www.yelp.com/biz/paulie-gees-brooklyn?osq=Paulie+Gee%27s
Paulie Gee’s Slice Shop,"Pizza, Italian",$$,,,,,https://www.yelp.com/biz/paulie-gees-slice-shop-brooklyn?osq=Paulie+Gee%27s+Slice+Shop
Totonno’s,Pizza,$$,,,,,https://www.yelp.com/biz/totonnos-brooklyn?osq=Totonno%27s
